District,City,Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2013-14),Average Standard Score (2012-13)
"Cherry Creek, School District No. 5",Denver,0,0,1,533,29.8,17.8,0.049,0.075,0.002,0.229,0.129,0.004,0.077,0.484,98.07055,97.801
"Aurora, Joint District No. 28",Aurora,0,0,0,589,28.2,20.8,0.204,0.092,0.007,0.104,0.177,0.012,0.078,0.531,97.99491,97.1081
Boulder Valley School District No. Re2,Boulder,0,1,0,342,16.7,20.4,0.07,0.006,0.003,0.193,0.058,0,0.096,0.643,97.54109,97.6065
Jefferson County School District No. R-1,Lakewood,0,0,0,451,20.4,22.1,0.086,0.004,0.004,0.038,0.109,0,0.029,0.816,97.00038,95.747
Jefferson County School District No. R-1,Denver,0,0,0,1038,49.2,21,0.075,0.007,0.006,0.065,0.097,0,0.028,0.798,96.74275,96.71571
"Douglas County School District, No. Re 1",Parker,0,1,0,602,36.5,16.4,0.008,0.003,0.008,0.085,0.071,0,0.028,0.804,96.26818,95.3156
Poudre School District R-1,Fort Collins,0,1,0,1036,51.6,20,0.039,0.003,0.003,0.056,0.052,0,0.03,0.856,96.26318,97.0859
"Littleton, School District No. 6",Littleton,0,1,0,465,39,11.8,0.054,0.019,0,0.144,0.067,0,0.034,0.735,95.96855,95.6985
Pueblo County School District 70,Pueblo,0,1,0,269,11.4,23.4,0.048,0.004,0,0.03,0.32,0,0.03,0.617,95.78145,94.6005
Adams 12 Five Star Schools,Thornton,0,1,0,648,35.9,18,0.032,0.008,0.005,0.185,0.091,0.002,0.043,0.667,95.42509,96.441
School District No. 1,Denver,0,0,0,1076,48.8,22,0.141,0.073,0.003,0.042,0.14,0.001,0.064,0.677,95.34309,92.0556
School District No. 1,Denver,0,0,0,597,32.5,18.3,0.082,0.013,0,0.023,0.077,0,0.052,0.834,95.19882,95.4845
Adams 12 Five Star Schools,Northglenn,0,0,0,722,38.5,18.7,0.083,0.015,0.003,0.157,0.111,0.008,0.04,0.666,94.82709,94.1214
Poudre School District R-1,Fort Collins,0,0,0,774,37.7,20.5,0.068,0.012,0.003,0.103,0.045,0,0.034,0.804,94.36764,94.6952
"Cherry Creek, School District No. 5",Greenwood Village,0,1,0,502,32.9,15.2,0,0.062,0.002,0.205,0.072,0,0.048,0.612,93.64473,92.2919
Boulder Valley School District No. Re2,Boulder,0,0,0,550,29.2,18.7,0.047,0.004,0.005,0.056,0.06,0,0.053,0.822,93.53964,95.1105
"Douglas County School District, No. Re 1",Parker,0,1,0,669,39.1,17.1,0,0.016,0.001,0.057,0.135,0.001,0.051,0.738,93.30209,88.0741
Jefferson County School District No. R-1,Evergreen,0,0,0,668,38.2,17.4,0.106,0,0.001,0.015,0.042,0.001,0.019,0.921,93.23345,92.9547
"Douglas County School District, No. Re 1",Castle Rock,0,1,0,1549,88.3,17.5,0.024,0.008,0.001,0.085,0.076,0.001,0.039,0.791,93.01545,95.6
State Charter School Institute,Colorado Springs,0,1,0,241,20.9,11.5,0.266,0.021,0,0.012,0.203,0,0.104,0.66,92.78764,92.9027
St. Vrain Valley School District No. Re1j,Longmont,0,1,0,933,59.6,15.6,0.095,0.009,0.01,0.081,0.058,0.002,0.016,0.824,92.52882,91.1958
Jefferson County School District No. R-1,Littleton,0,0,0,527,27.6,19,0.142,0.004,0.006,0.023,0.108,0.002,0.04,0.818,92.28713,90.51043
"Douglas County School District, No. Re 1",Castle Rock,0,1,0,405,15.9,25.3,0.057,0.01,0.002,0.022,0.099,0,0.049,0.817,91.32514,84.31267
"Douglas County School District, No. Re 1",Highlands Ranch,0,1,0,580,26.9,21.4,0.021,0.003,0.007,0.06,0.093,0,0.052,0.784,91.05982,91.8905
St. Vrain Valley School District No. Re1j,Longmont,0,0,0,756,36.5,20.7,0.234,0.012,0.004,0.093,0.159,0,0.016,0.717,90.91591,89.4962
"Cherry Creek, School District No. 5",Greenwood Village,0,0,0,1410,76.2,18.4,0.127,0.023,0.007,0.148,0.105,0.002,0.04,0.675,90.53527,89.1192
Jefferson County School District No. R-1,Broomfield,0,1,0,704,21.5,32.6,0.109,0.011,0.011,0.023,0.108,0.001,0.047,0.798,90.18013,78.78786
"Cherry Creek, School District No. 5",Greenwood Village,0,0,0,1208,64.8,18.6,0.142,0.019,0.004,0.084,0.148,0.001,0.038,0.706,90.16882,89.3224
Jefferson County School District No. R-1,Golden,0,0,0,159,9.6,16.4,0.176,0,0,0.006,0.088,0,0.031,0.874,90.1675,87.83283
"Littleton, School District No. 6",Littleton,0,0,0,891,42.6,20.9,0.121,0.006,0.008,0.031,0.097,0,0.035,0.824,89.948,88.6325
"Academy, School District No. 20",Colorado Springs,0,0,0,766,44.9,17,0.082,0.025,0.005,0.04,0.107,0.005,0.055,0.762,89.32991,86.1085
"Colorado Springs, School District No. 11",Colorado Springs,0,1,0,285,19,14.9,0.218,0.007,0.007,0.035,0.091,0,0.025,0.835,89.18755,93.92033
Boulder Valley School District No. Re2,Superior,0,0,0,959,51.6,18.5,0.065,0.007,0.003,0.131,0.08,0,0.052,0.726,89.18109,90.4835
Jefferson County School District No. R-1,Littleton,0,1,0,533,21.2,25.1,0.073,0.006,0,0.039,0.084,0.006,0.039,0.826,88.65767,76.17167
"Lewis-Palmer Consolidated, School District No. 38",Monument,0,1,0,895,50.4,17.7,0.068,0.012,0,0.023,0.096,0,0.057,0.811,88.11855,86.6363
Poudre School District R-1,Fort Collins,0,0,0,1058,54.1,19.5,0.136,0.019,0,0.027,0.075,0,0.041,0.838,87.91427,85.1488
Boulder Valley School District No. Re2,Lafayette,0,1,0,1445,64.2,22.4,0.073,0.008,0.002,0.111,0.089,0.003,0.048,0.738,87.89182,89.1397
"Douglas County School District, No. Re 1",Castle Rock,0,1,0,738,30.4,24.2,0.057,0.001,0.003,0.024,0.098,0.003,0.049,0.822,87.73473,89.1325
"Academy, School District No. 20",Colorado Springs,0,1,0,472,19.7,23.8,0.042,0.011,0,0.017,0.068,0.002,0.053,0.85,87.54325,89.96657
Cheyenne Mountain School District No. 12,Colorado Springs,0,0,0,629,38.1,16.4,0.157,0.025,0.006,0.033,0.1,0,0.049,0.785,87.46513,88.92243
Eagle County School District No. Re 50,Eagle,0,0,0,158,10.2,15.4,0.019,0,0.013,0.006,0.076,0,0.038,0.867,87.34813,73.509
"Douglas County School District, No. Re 1",Parker,0,1,0,490,22.5,21.7,0.08,0.012,0.004,0.114,0.073,0,0.047,0.749,86.69364,88.4122
Boulder Valley School District No. Re2,Louisville,0,0,0,631,33.1,19,0.106,0.003,0.003,0.027,0.13,0,0.048,0.789,86.52945,88.0516
Steamboat Springs School District No. Re 2,Steamboat Springs,0,0,0,547,37.1,14.7,0.181,0.004,0,0.013,0.108,0.011,0.013,0.852,86.45164,89.2564
Poudre School District R-1,Fort Collins,0,1,0,773,50.6,15.2,0.163,0.005,0.003,0.045,0.109,0,0.058,0.78,86.10764,85.6468
Telluride School District No. R-1,Telluride,0,0,0,113,9.3,12.1,0.283,0,0.009,0.009,0.15,0,0.027,0.805,85.98875,83.62943
"Douglas County School District, No. Re 1",Littleton,0,0,0,1429,66.4,21.4,0.034,0.006,0.004,0.067,0.08,0,0.044,0.799,85.79091,90.389
Gunnison Watershed School District Re1j,Crested Butte,0,0,0,649,44.7,14.5,0.111,0.003,0.005,0.003,0.045,0.003,0.029,0.912,85.49991,86.4693
"Littleton, School District No. 6",Littleton,0,1,0,624,39.2,15.9,0.21,0.014,0.003,0.026,0.237,0,0.019,0.7,85.20764,81.3192
Weld County Reorganized School District No. Re-4,Windsor,0,1,0,422,26,16.1,0.111,0,0,0.031,0.081,0,0.031,0.858,85.16645,86.4071
St. Vrain Valley School District No. Re1j,Mead,0,0,0,417,24.2,17.2,0.201,0,0,0.031,0.165,0.005,0.012,0.787,85.07455,81.3648
"Academy, School District No. 20",Colorado Springs,0,1,0,487,35.4,13.7,0.055,0.014,0.002,0.018,0.082,0,0.045,0.838,84.8845,89.44314
Boulder Valley School District No. Re2,Louisville,0,0,0,887,46.7,18.9,0.115,0.012,0.002,0.118,0.09,0.001,0.067,0.709,84.72755,86.1693
"Douglas County School District, No. Re 1",Highlands Ranch,0,0,0,1119,54.4,20.5,0.073,0.006,0,0.053,0.111,0.001,0.031,0.798,84.72563,89.14186
"Academy, School District No. 20",Colorado Springs,0,0,0,2509,139.8,17.9,0.073,0.024,0.004,0.031,0.106,0.004,0.057,0.774,84.528,85.1583
Eagle County School District No. Re 50,Eagle,0,0,0,301,18.7,16,0.276,0,0.003,0.01,0.319,0,0.02,0.648,84.37609,78.1322
Boulder Valley School District No. Re2,Boulder,0,0,0,510,25.2,20.2,0.094,0.014,0.01,0.029,0.084,0,0.069,0.794,84.01809,90.2021
"Englewood, School District No. 1",Englewood,0,0,0,66,4.8,13.4,0.439,0.015,0,0.03,0.182,0,0.061,0.712,83.59957,82.7525
"Littleton, School District No. 6",Centennial,0,0,0,628,32,19.5,0.164,0.01,0.005,0.033,0.115,0.003,0.03,0.804,83.33573,74.8341
"Lewis-Palmer Consolidated, School District No. 38",Monument,0,0,0,817,47.6,17.1,0.091,0.004,0.012,0.038,0.095,0.001,0.038,0.812,83.25625,85.514
Eagle County School District No. Re 50,Edwards,0,1,0,346,24.6,14,0.023,0,0.003,0.006,0.038,0,0.009,0.945,82.64536,88.6625
Thompson School District R-2j,Loveland,0,1,0,476,25.9,18.3,0.271,0.002,0.008,0.023,0.139,0,0.032,0.796,82.38391,72.2359
Jefferson County School District No. R-1,Lakewood,0,0,0,1111,57.6,19.2,0.427,0.011,0.007,0.077,0.316,0.003,0.034,0.553,82.33845,78.7471
School District No. 1,Denver,0,0,1,774,36.3,21.2,0.517,0.062,0.032,0.081,0.468,0.004,0.039,0.314,82.022,72.8263
Jefferson County School District No. R-1,Littleton,0,0,0,640,34,18.8,0.177,0.006,0.006,0.008,0.128,0.003,0.038,0.811,81.90927,82.8818
Jefferson County School District No. R-1,Arvada,0,1,0,643,30.6,21,0.198,0.014,0.002,0.045,0.199,0,0.056,0.684,81.80927,71.8246
Jefferson County School District No. R-1,Conifer,0,0,0,574,34,16.8,0.199,0.003,0.012,0.019,0.073,0.002,0.012,0.878,81.53291,84.692
Jefferson County School District No. R-1,Arvada,0,0,0,669,35.4,18.8,0.263,0.006,0.007,0.031,0.152,0,0.027,0.776,81.28938,79.96129
Adams 12 Five Star Schools,Northglenn,0,0,1,460,24,19.1,0.191,0.009,0.004,0.059,0.124,0,0.028,0.776,80.98482,81.4766
"Pueblo, School District No. 60",Pueblo,0,0,1,646,32,20.1,0.418,0.015,0.002,0.017,0.588,0.003,0.019,0.356,80.67291,81.1774
"Cherry Creek, School District No. 5",Aurora,0,0,0,1125,59.7,18.8,0.09,0.075,0.003,0.085,0.116,0.002,0.054,0.666,80.48982,76.5275
La Veta School District Re-2,La Veta,0,0,0,104,10.4,9.9,0.51,0,0.01,0,0.356,0,0.01,0.625,80.34667,55.31733
"Ridgway, School District No. R-2",Ridgway,0,0,0,85,6.5,12.9,0.341,0.012,0,0.012,0.071,0.012,0.082,0.812,79.90327,76.1965
Jefferson County School District No. R-1,Littleton,0,0,0,753,40.4,18.6,0.194,0.007,0.003,0.029,0.185,0,0.032,0.745,79.85763,80.46386
Jefferson County School District No. R-1,Evergreen,0,1,0,446,24.8,17.9,0.027,0.011,0.004,0.022,0.063,0.004,0.031,0.863,79.84582,90.9865
"Cherry Creek, School District No. 5",Aurora,0,0,0,1079,61.8,17.4,0.189,0.088,0.005,0.104,0.171,0,0.05,0.582,79.78627,72.9342
"Douglas County School District, No. Re 1",Highlands Ranch,0,1,0,1035,73.4,14,0.044,0.016,0.004,0.116,0.108,0.001,0.037,0.718,79.43873,82.60267
Thompson School District R-2j,Berthoud,0,0,0,460,24.4,18.8,0.215,0.007,0.007,0.017,0.111,0.004,0.015,0.839,79.13982,72.0649
Aspen School District No. 1,Aspen,0,0,0,481,39.9,12,0.06,0.008,0.006,0.019,0.098,0,0,0.869,78.81155,81.9407
"Academy, School District No. 20",Colorado Springs,0,0,0,958,56.4,16.9,0.188,0.042,0.006,0.032,0.127,0.003,0.065,0.724,78.71382,77.4148
"Falcon, School District No. 49",Colorado Springs,0,1,0,750,46.4,16.1,0.124,0.049,0.005,0.032,0.181,0.003,0.077,0.652,78.49455,75.0591
"Harrison, School District No. 2",Colorado Springs,0,1,0,446,27.5,16.1,0.417,0.092,0.007,0.061,0.399,0.009,0.034,0.399,78.41191,77.4648
St. Vrain Valley School District No. Re1j,Erie,0,0,0,707,34.9,20.2,0.144,0.013,0.004,0.024,0.119,0.003,0.011,0.826,78.11845,81.1479
Adams 12 Five Star Schools,Northglenn,0,1,0,390,26.7,14.5,0.044,0.003,0.003,0.033,0.144,0,0.044,0.774,77.69809,66.1777
"Academy, School District No. 20",Colorado Springs,0,0,0,1062,61.3,17.3,0.168,0.041,0.006,0.025,0.136,0.002,0.053,0.737,77.45491,71.6108
Elbert School District No. 200,Elbert,0,0,0,103,9.8,10.4,0.252,0,0,0.049,0,0,0.01,0.942,77.32475,46.858
Salida School District No. R-32,Salida,1,0,0,329,24.3,13.4,0.471,0.003,0,0.006,0.161,0,0.027,0.802,76.35036,73.6359
"Douglas County School District, No. Re 1",Parker,0,0,0,1432,67.8,21.1,0.105,0.01,0.004,0.026,0.105,0.001,0.042,0.813,76.274,76.6693
School District No. 1,Denver,0,1,0,233,16.6,13.9,0.348,0.129,0.004,0.021,0.159,0,0.12,0.567,76.23027,75.1272
"Douglas County School District, No. Re 1",Highlands Ranch,0,0,0,1007,53.4,18.8,0.076,0.005,0.004,0.035,0.111,0,0.043,0.802,76.12313,78.84014
Jefferson County School District No. R-1,Lakewood,0,0,0,597,35.6,16.7,0.288,0.02,0.008,0.025,0.156,0.003,0.034,0.754,76.04288,72.51243
Jefferson County School District No. R-1,Littleton,0,0,0,658,39,16.8,0.222,0.015,0.006,0.043,0.15,0.005,0.032,0.749,75.9125,75.25057
Weld County Reorganized School District No. Re-4,Windsor,0,0,0,444,28.8,15.3,0.155,0.002,0.007,0.011,0.135,0,0.032,0.813,75.57118,74.6684
Poudre School District R-1,Fort Collins,0,0,0,733,39,18.7,0.402,0.011,0.003,0.034,0.28,0,0.044,0.629,75.13564,73.3278
"Academy, School District No. 20",Colorado Springs,0,0,0,1131,61.8,18.3,0.213,0.035,0.003,0.065,0.157,0.003,0.053,0.684,75.13455,78.7573
Poudre School District R-1,Fort Collins,0,0,0,284,17.3,16.3,0.32,0.004,0.007,0.014,0.063,0,0.042,0.87,74.96164,64.5632
"Colorado Springs, School District No. 11",Colorado Springs,0,0,0,957,53.1,18,0.304,0.061,0.004,0.039,0.172,0.003,0.086,0.635,74.88891,78.4892
Jefferson County School District No. R-1,Arvada,0,1,0,517,25.6,20.1,0.182,0.004,0,0.027,0.133,0.002,0.046,0.787,74.79255,73.1417
School District No. 1,Denver,0,1,0,507,33.6,15,0.369,0.28,0.004,0.039,0.152,0,0.028,0.497,74.70591,77.253
Denver 1,Denver,0,0,0,387,30.3,12.7,0,0.018,0.003,0.034,0.109,0,0.067,0.77,74.33,69.1934
Jefferson County School District No. R-1,Westminster,0,0,0,399,25,15.9,0.401,0.005,0.008,0.093,0.216,0.003,0.053,0.624,74.27,65.71114
"Cherry Creek, School District No. 5",Aurora,0,0,0,1036,55.7,18.5,0.232,0.09,0.007,0.069,0.164,0.004,0.053,0.614,74.161,71.6866
"Douglas County School District, No. Re 1",Parker,0,0,0,987,52,18.9,0.069,0.006,0.006,0.023,0.111,0.004,0.039,0.811,74.02791,75.2994
"Littleton, School District No. 6",Littleton,0,0,0,734,38.2,19.1,0.294,0.005,0.003,0.037,0.185,0.001,0.027,0.741,73.92127,74.8718
Mesa County Valley School District No. 51,Grand Junction,0,0,0,583,35.7,16.3,0.211,0.005,0.007,0.007,0.144,0,0.033,0.804,73.57082,71.6846
Boulder Valley School District No. Re2,Boulder,0,1,0,348,21.1,16.4,0.052,0.006,0.003,0.052,0.04,0,0.029,0.871,73.48836,53.5604
Adams 12 Five Star Schools,Broomfield,0,0,0,1067,56,19,0.266,0.014,0.004,0.076,0.196,0,0.02,0.691,73.328,67.5
Jefferson County School District No. R-1,Arvada,0,0,0,572,29.2,19.5,0.229,0.005,0.005,0.019,0.14,0,0.031,0.799,73.096,78.18686
School District No. 1,Denver,0,0,0,821,42.6,19.2,0.161,0.112,0.004,0.026,0.107,0.001,0.043,0.708,72.856,65.8865
Boulder Valley School District No. Re2,Broomfield,0,0,0,968,49.3,19.6,0.144,0.011,0,0.056,0.123,0.002,0.038,0.77,72.55591,62.4226
State Charter School Institute,Colorado Springs,0,1,0,528,26.6,19.8,0.263,0.036,0,0.019,0.223,0.006,0.044,0.672,72.46227,84.0105
St. Vrain Valley School District No. Re1j,Longmont,0,0,0,727,36.4,19.9,0.303,0.004,0.004,0.03,0.19,0.001,0.017,0.754,72.34473,75.4307
St. Vrain Valley School District No. Re1j,Lyons,0,0,0,405,23.4,17.2,0.746,0.005,0.005,0.032,0.096,0.002,0.022,0.837,72.31118,74.2684
School District No. Re-1 Valley,Iliff,0,0,0,139,11.4,12.1,0.46,0.007,0.007,0,0.151,0,0.007,0.827,72.20813,64.24486
"Greeley,school District No. 6",Greeley,0,0,0,625,36.6,17,0.51,0.002,0.005,0.003,0.488,0,0.018,0.485,72.18464,71.9513
School District No. 1,Denver,0,0,0,594,27.2,21.7,0.451,0.192,0.003,0.025,0.247,0.002,0.082,0.448,72.17691,65.277
Park County School District No. Re-2,Fairplay,1,0,0,89,6.4,13.7,0.427,0,0,0,0.169,0,0.011,0.82,71.998,75.0296
Adams 12 Five Star Schools,Thornton,0,0,0,1160,57.3,20.2,0.146,0.016,0.006,0.059,0.182,0.001,0.019,0.718,71.92791,72.5566
"Littleton, School District No. 6",Littleton,0,0,0,731,43.2,16.8,0.384,0.019,0.005,0.027,0.294,0.003,0.036,0.616,71.84645,63.8401
"Colorado Springs, School District No. 11",Colorado Springs,0,0,0,699,36.5,19.1,0.439,0.026,0.004,0.014,0.225,0,0.057,0.674,71.68909,75.6318
"Douglas County School District, No. Re 1",Highlands Ranch,0,0,0,915,49.4,18.5,0.121,0.024,0.012,0.056,0.153,0.003,0.047,0.705,71.64588,75.67214
Boulder Valley School District No. Re2,Boulder,0,0,0,581,33.1,17.5,0.262,0.005,0.005,0.043,0.238,0.002,0.052,0.656,70.83291,72.3637
Jefferson County School District No. R-1,Westminster,0,1,0,745,28,26.6,0.016,0.004,0.005,0.016,0.114,0,0.04,0.82,70.77691,75.642
Jefferson County School District No. R-1,Westminster,0,0,0,421,22.8,18.4,0.28,0.012,0.007,0.017,0.169,0.002,0.031,0.762,70.67013,74.66871
Delta County Joint District No. 50,Paonia,0,0,0,219,14.2,15.3,0.356,0.005,0.005,0.009,0.123,0,0.014,0.845,70.14825,72.95543
Fremont Re-1,Canon City,0,1,0,240,14,17.1,0.279,0,0,0.021,0.117,0.013,0.025,0.825,69.83091,77.5159
Poudre School District R-1,Fort Collins,0,0,0,800,41.9,19,0.291,0.014,0.004,0.026,0.135,0.003,0.044,0.775,69.69145,72.5826
Weld County School District No. Re-2,Eaton,0,0,0,438,25.8,16.9,0.345,0.016,0.007,0.007,0.237,0,0.009,0.724,69.32609,72.8254
"Falcon, School District No. 49",Falcon,0,1,0,384,22.4,17.1,0.161,0.034,0.008,0.008,0.07,0.005,0.044,0.831,68.89136,67.7608
Jefferson County School District No. R-1,Golden,0,0,0,621,38.2,16.2,0.329,0.011,0.006,0.029,0.147,0.002,0.024,0.781,68.81627,57.38471
St. Vrain Valley School District No. Re1j,Longmont,0,1,0,1044,35.8,29.1,0.367,0.01,0.008,0.097,0.276,0.003,0.038,0.569,68.76027,65.9356
Weld County Reorganized School District No. Re-4,Windsor,0,0,0,608,37.5,16.1,0.217,0,0.007,0.015,0.15,0,0.021,0.808,68.62918,70.6432
"Pueblo, School District No. 60",Pueblo,0,0,0,711,38,18.6,0.606,0.024,0.003,0.014,0.549,0.001,0.015,0.394,68.52218,73.2979
"Douglas County School District, No. Re 1",Parker,0,0,0,1053,54,19.4,0.171,0.02,0.008,0.026,0.14,0.001,0.044,0.763,68.2335,63.77057
"Falcon, School District No. 49",Colorado Springs,0,1,0,746,53,14,0.157,0.035,0.004,0.017,0.194,0.004,0.121,0.625,68.01718,60.0975
"Platte Canyon, School District No. 1",Bailey,0,0,0,238,17,14,0.366,0.013,0.004,0.017,0.126,0,0.034,0.807,67.86264,75.999
Adams 12 Five Star Schools,Westminster,0,1,0,1866,87.2,21.3,0.183,0.014,0.006,0.068,0.251,0.001,0.025,0.635,67.68533,60.6451
"Greeley,school District No. 6",Greeley,0,1,0,1509,75,20.1,0.221,0.011,0.003,0.011,0.156,0,0.013,0.806,67.15273,70.5753
School District 27j,Brighton,0,1,0,743,28.4,26.1,0.129,0.011,0.001,0.005,0.21,0.001,0.02,0.751,66.95282,66.91717
School District No. 1,Denver,0,0,0,875,44.7,19.5,0.55,0.182,0.013,0.043,0.333,0.007,0.043,0.379,66.59145,59.1402
Poudre School District R-1,Laporte,0,0,0,304,19,16,0.329,0.01,0.01,0,0.135,0.003,0.026,0.816,66.56727,66.5206
"Douglas County School District, No. Re 1",Castle Rock,0,0,0,886,48.8,18.1,0.139,0.009,0.009,0.01,0.132,0.001,0.035,0.804,66.5475,69.12629
