District,City,Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2013-14),Average Standard Score (2012-13)
"Limon School District, No. Re 4j",Limon,0,0,0,233,15.4,15,0.433,0.03,0.009,0,0.107,0,0.026,0.828,66.49309,67.4187
State Charter School Institute,Carbondale,0,1,0,233,13.3,17.4,0.232,0,0.004,0.009,0.21,0.009,0.013,0.755,66.2348,63.689
Boulder Valley School District No. Re2,Boulder,0,0,0,547,32.3,16.9,0.294,0.007,0.007,0.06,0.236,0,0.029,0.66,66.09682,65.3825
"Cherry Creek, School District No. 5",Aurora,0,0,0,1297,70.9,18.2,0.21,0.105,0.005,0.059,0.155,0.001,0.077,0.598,65.90027,69.7423
"Cherry Creek, School District No. 5",Aurora,0,0,0,889,48.3,18.4,0.222,0.123,0.006,0.083,0.173,0.001,0.06,0.555,65.82164,69.0472
"Swink, School District No. 33",Swink,0,0,0,155,13.4,11.5,0.348,0.019,0.006,0.058,0.006,0,0.013,0.897,65.61675,56.21086
Poudre School District R-1,Wellington,0,0,0,423,25.5,16.5,0.39,0.012,0.017,0.009,0.151,0.002,0.009,0.799,64.55291,63.9105
Summit School District No. Re 1,Frisco,0,0,0,703,45.3,15.5,0.398,0.004,0,0.007,0.317,0.001,0.03,0.64,64.30055,63.2506
East Grand School District No. 2,Granby,0,0,0,276,20.8,13.2,0.344,0.004,0.007,0,0.094,0.011,0.004,0.88,63.25545,74.1104
School District No. Re-5 Plateau,Peetz,0,0,0,102,8.6,11.8,0.294,0,0.02,0,0.02,0,0.029,0.931,63.24838,51.43243
Poudre School District R-1,Fort Collins,0,0,0,545,33.5,16.2,0.45,0.02,0.004,0.029,0.185,0.004,0.04,0.717,63.03873,63.1635
"Falcon, School District No. 49",Colorado Springs,0,1,0,831,41.4,20,0.118,0.053,0.006,0.017,0.183,0.006,0.073,0.662,62.45882,71.6291
Meeker School District Re1,Meeker,0,0,0,153,8,19,0.34,0,0.007,0,0.15,0,0.007,0.837,61.91055,67.2129
Big Sandy School District No. 100j,Simla,1,0,0,76,7.3,10.4,0.513,0.013,0.013,0,0.039,0.013,0.039,0.882,61.78682,59.3162
School District 27j,Brighton,0,1,0,932,51,18.2,0.244,0.002,0.002,0.014,0.278,0.002,0.024,0.678,61.46855,54.4157
Mesa County Valley School District No. 51,Fruita,0,0,0,577,36.6,15.7,0.315,0.007,0.002,0.01,0.159,0.007,0.029,0.785,61.45343,62.55033
St. Vrain Valley School District No. Re1j,Firestone,0,1,0,627,39.9,15.7,0.163,0.013,0.003,0.022,0.136,0.002,0.011,0.813,61.22055,58.94
Pueblo County School District 70,Pueblo West,0,0,0,575,29.3,19.6,0.311,0.005,0.007,0.003,0.287,0,0.033,0.664,60.78736,60.3695
Garfield School District No. Re-2,New Castle,0,0,0,682,38.5,17.7,0.463,0.001,0.001,0.004,0.387,0.001,0.015,0.589,60.71364,56.1307
Durango School District No. 9-R,Durango,0,0,0,412,29.5,13.9,0.277,0,0.034,0.002,0.165,0,0.019,0.779,60.60818,73.667
Bayfield School District No. 10jt-R,Bayfield,0,0,0,306,19.5,15.6,0.324,0,0.02,0,0.141,0.003,0.013,0.824,60.24418,60.5674
Wiley School District No. Re-13 Jt,Wiley,0,0,0,117,10.6,11,0.41,0.009,0,0,0.188,0,0.051,0.752,60.148,46.564
Jefferson County School District No. R-1,Wheat Ridge,0,1,0,498,21.6,23,0.155,0.008,0.004,0.016,0.122,0,0.036,0.813,59.89691,65.4055
Weld County Reorganized School District No. Re-3,Keenesburg,0,1,0,162,11.9,13.5,0.093,0,0.006,0.012,0.062,0,0.043,0.877,59.23643,59.83233
Jefferson County School District No. R-1,Lakewood,0,0,0,591,32,18.4,0.486,0.014,0.012,0.024,0.315,0.003,0.029,0.604,59.23088,57.115
Boulder Valley School District No. Re2,Broomfield,0,0,0,554,31.9,17.3,0.276,0.009,0.007,0.042,0.227,0,0.031,0.684,59.22245,58.5102
Roaring Fork School District No. Re-1,Basalt,0,0,0,482,30.5,15.7,0.425,0,0,0.012,0.537,0,0.008,0.442,59.02236,50.7333
St. Vrain Valley School District No. Re1j,Longmont,0,0,0,608,33.6,18,0.523,0.013,0.003,0.021,0.424,0.008,0.021,0.508,58.80236,55.0621
Akron School District No. R-1,Akron,1,0,0,241,20.4,11.7,0.51,0.004,0,0.017,0.178,0,0.029,0.772,58.78445,53.2869
Clear Creek School District No. Re-1,Evergreen,0,0,0,128,8.3,15.3,0.383,0,0.016,0.008,0.063,0,0.039,0.875,58.7735,80.59671
Pueblo County School District 70,Pueblo West,0,1,0,332,17.7,18.7,0.256,0.006,0.006,0.024,0.241,0,0.015,0.708,58.04864,49.6745
School District No. C-1,Elizabeth,0,0,0,529,28.8,18.3,0.229,0.006,0.004,0.002,0.098,0.002,0.017,0.871,57.93118,58.1044
"Douglas County School District, No. Re 1",Castle Rock,0,0,0,993,56.6,17.5,0.209,0.012,0.006,0.015,0.131,0.001,0.039,0.796,57.88688,69.92914
Jefferson County School District No. R-1,Golden,0,1,0,377,16.4,22.9,0.21,0.011,0.003,0.008,0.106,0,0.045,0.828,57.76367,48.24029
Adams 12 Five Star Schools,Thornton,0,0,0,1053,52.2,20.1,0.327,0.024,0.009,0.051,0.243,0.001,0.015,0.657,57.70836,61.9719
Mesa County Valley School District No. 51,Grand Junction,0,0,0,475,28.6,16.5,0.451,0.006,0.006,0.006,0.204,0,0.053,0.724,57.66391,53.6984
"Greeley,school District No. 6",Evans,0,0,1,711,40,17.7,0.63,0.003,0.001,0.006,0.518,0,0.024,0.449,57.60655,62.9617
"Aurora, Joint District No. 28",Aurora,0,0,0,688,33.4,20.5,0.365,0.174,0.001,0.041,0.321,0.006,0.078,0.378,57.59555,45.1342
"Aurora, Joint District No. 28",Aurora,0,0,0,675,30.7,21.9,0.305,0.16,0.003,0.126,0.227,0,0.081,0.403,57.45664,64.0173
Jefferson County School District No. R-1,Littleton,0,1,0,388,26.8,14.4,0.235,0.021,0.003,0.023,0.134,0.008,0.08,0.732,57.40864,52.3804
Woodland Park School District No. Re-2,Woodland Park,0,0,0,563,32.6,17.2,0.378,0.005,0.004,0.011,0.075,0.005,0.03,0.87,56.88936,64.0697
State Charter School Institute,Colorado Springs,0,1,0,190,7.4,25.3,0.274,0.016,0.005,0.021,0.095,0,0.005,0.858,56.87357,75.00367
Mesa County Valley School District No. 51,Grand Junction,0,1,0,327,19.5,16.7,0.171,0,0.009,0.009,0.15,0,0.034,0.798,56.726,31.78817
Eagle County School District No. Re 50,Gypsum,0,0,0,366,22.4,16.3,0.478,0,0.011,0.008,0.637,0,0.008,0.336,56.67909,66.8029
"Manitou Springs, School District No. 14",Manitou Springs,0,0,0,380,24.2,15.6,0.284,0.016,0.003,0.008,0.089,0.003,0.037,0.845,56.60882,63.5645
Pueblo County School District 70,Pueblo,0,0,0,363,23.4,15.4,0.57,0,0.008,0,0.482,0,0.019,0.49,56.45718,55.8209
Branson Reorganized School District No. 82,Branson,0,0,0,439,23.3,18.8,0.125,0.055,0.014,0.007,0.276,0.002,0.059,0.588,56.39809,59.1861
Poudre School District R-1,Fort Collins,0,0,0,614,39.8,15.4,0.388,0.026,0.016,0.02,0.208,0,0.037,0.692,56.37973,52.866
"Westminster, School District No. 50",Westminster,0,1,0,463,26,17.7,0.464,0.006,0.002,0.043,0.51,0.004,0.026,0.408,56.10109,63.1194
"Falcon, School District No. 49",Peyton,0,0,0,902,47.2,19,0.184,0.039,0.003,0.019,0.164,0.002,0.057,0.716,56.01118,65.6467
Mesa County Valley School District No. 51,Fruita,0,0,0,681,41,16.5,0.253,0.003,0,0.001,0.132,0.001,0.037,0.825,55.676,58.60575
"Fountain, School District No. 8",Fountain,0,0,0,918,56.9,16.1,0.477,0.09,0.008,0.008,0.275,0.013,0.109,0.498,55.66918,53.9494
Delta County Joint District No. 50,Cedaredge,0,0,0,210,13.3,15.6,0.476,0,0.01,0.005,0.095,0,0.029,0.862,55.29745,55.6254
Durango School District No. 9-R,Durango,0,0,0,499,30.4,16.3,0.363,0.012,0.082,0.016,0.18,0,0.024,0.685,54.46473,61.8045
School District No. 1,Denver,0,0,0,811,42.7,18.9,0.597,0.014,0.005,0.076,0.491,0.002,0.032,0.38,54.45036,52.3253
School District No. 1,Denver,0,1,0,201,16.7,12,0.512,0.104,0,0.025,0.388,0,0.07,0.413,54.11318,67.1936
"Harrison, School District No. 2",Colorado Springs,1,0,1,726,37.8,19.1,0.675,0.096,0.011,0.021,0.482,0.007,0.033,0.35,53.67418,60.2194
Thompson School District R-2j,Loveland,0,0,0,888,48.9,18.1,0.327,0.01,0.007,0.014,0.177,0,0.019,0.774,53.62127,58.5973
Buena Vista School District No. R-31,Buena Vista,0,0,0,202,17.5,11.5,0.381,0.01,0.005,0.015,0.114,0,0.015,0.842,53.61282,48.8617
School District 27j,Commerce City,0,1,0,757,31.2,24.2,0.125,0.025,0.003,0.008,0.21,0,0.049,0.705,53.58873,61.8175
Custer County School District Consolidate 1,Westcliffe,0,0,0,102,7.8,12.9,0.539,0.01,0,0.01,0.02,0,0.02,0.941,53.443,66.1912
"Falcon, School District No. 49",Colorado Springs,0,0,0,1022,56.5,18,0.309,0.103,0.008,0.053,0.214,0.001,0.053,0.568,52.944,53.4041
Eagle County School District No. Re 50,Avon,1,0,0,552,39,14.1,0.46,0.018,0.009,0.024,0.476,0.002,0.011,0.46,52.72409,64.7492
Primero Reorganized School District No. 2,Weston,0,0,0,104,12.4,8.3,0.394,0,0.01,0,0,0,0,0.99,52.71363,34.594
Jefferson County School District No. R-1,Lakewood,0,0,0,685,42.2,16.2,0.555,0.022,0.012,0.032,0.397,0.003,0.035,0.499,52.61263,44.36957
Jefferson County School District No. R-1,Arvada,0,0,0,501,29.8,16.8,0.481,0.014,0.004,0.016,0.301,0.002,0.036,0.627,52.40863,52.09229
Sargent School District No. Re-33j,Monte Vista,0,0,0,83,4.8,17,0.301,0,0.012,0,0.289,0,0.012,0.687,52.36888,55.52814
Gilpin County School District No. Re-1,Golden,0,0,0,168,15.5,10.8,0.262,0.006,0,0.018,0.131,0.012,0.06,0.774,52.31,47.8473
"Sanford, School District No. 6",Sanford,0,0,0,173,12,14.4,0.48,0,0,0,0.329,0,0.012,0.659,52.21788,56.78486
State Charter School Institute,Grand Junction,0,1,0,755,48.3,15.6,0.248,0.004,0.003,0.016,0.131,0,0.023,0.824,52.03609,53.2373
Boulder Valley School District No. Re2,Boulder,0,0,0,608,37,16.4,0.405,0.01,0.002,0.035,0.388,0,0.049,0.516,51.96655,59.1923
"Pueblo, School District No. 60",Pueblo,0,1,0,445,30.8,14.4,0.6,0.009,0.007,0,0.661,0,0.011,0.312,51.95236,52.6371
Gunnison Watershed School District Re1j,Gunnison,0,0,0,297,17.5,16.9,0.316,0.003,0.007,0,0.209,0,0.017,0.764,51.75318,55.3027
Mesa County Valley School District No. 51,Grand Junction,0,0,0,400,26.5,15,0.313,0.005,0.01,0.013,0.173,0.003,0.048,0.75,51.49118,50.5864
Hoehne Reorganized School District No. 3,Trinidad,0,0,0,59,3.3,17.4,0.39,0.017,0,0,0.424,0,0,0.559,51.43825,70.07643
School District No. Re-1 Valley,Sterling,0,0,0,416,30.2,13.7,0.57,0.005,0.017,0.007,0.274,0,0.029,0.668,51.07836,47.6828
"Cherry Creek, School District No. 5",Aurora,0,0,0,1124,60.7,18.4,0.38,0.169,0.004,0.062,0.214,0.003,0.058,0.49,50.59627,49.9164
School District No. Re-4 Buffalo,Merino,0,0,0,153,12.8,11.9,0.268,0.026,0,0.013,0.078,0,0.02,0.863,50.56213,56.23586
Delta County Joint District No. 50,Hotchkiss,1,0,0,384,20.7,18.4,0.51,0.008,0.008,0.005,0.146,0,0.023,0.81,50.53073,48.7599
Hayden School District No. Re 1,Hayden,0,0,0,87,7.5,11.6,0.414,0,0,0.011,0.138,0.011,0,0.839,50.25555,54.3594
Fowler School District No. R4j,Fowler,0,0,0,77,4.8,15.8,0.429,0,0.013,0,0.208,0,0,0.779,50.139,46.54114
North Conejos School District No. Re1j,La Jara,1,0,0,240,16.1,14.8,0.671,0.013,0.008,0,0.596,0.004,0.004,0.375,49.77,49.6284
Julesburg School District No. Re1,Julesburg,0,0,0,98,7.2,13.5,0.5,0,0,0,0.235,0,0.031,0.735,49.47163,91.15375
Montrose County School District Re-1j,Montrose,0,0,0,510,30,17,0.455,0.008,0.004,0.012,0.278,0.002,0.037,0.659,49.13491,53.379
Pueblo County School District 70,Colorado City,0,0,0,171,10.5,16.2,0.468,0.012,0,0.018,0.135,0,0.023,0.813,49.12973,44.3845
"Colorado Springs, School District No. 11",Colorado Springs,0,0,0,727,38.4,18.9,0.579,0.067,0.012,0.017,0.257,0.004,0.105,0.538,49.00655,44.6935
Weld County School District No. Re-5j,Milliken,0,1,0,361,18.3,19.6,0.388,0,0.008,0.03,0.188,0,0.055,0.717,48.69745,56.088
St. Vrain Valley School District No. Re1j,Firestone,0,0,0,771,41.7,18.4,0.337,0.009,0.005,0.013,0.224,0.001,0.008,0.739,48.61945,40.2907
School District No. Re-50 Wiggins,Wiggins,1,0,0,99,7.1,13.8,0.576,0,0.04,0,0.263,0,0.01,0.687,48.51118,56.3877
Jefferson County School District No. R-1,Arvada,0,0,0,441,27.6,15.9,0.58,0.032,0.007,0.039,0.345,0.002,0.029,0.546,48.42688,48.76629
North Park School District R-1,Walden,0,0,0,101,11.5,8.7,0.495,0,0.01,0,0.168,0,0.02,0.802,47.998,57.949
"Haxtun School District, No. Re-2j",Haxtun,1,0,0,229,16.6,13.7,0.336,0,0,0,0.096,0,0,0.904,47.59382,56.615
State Charter School Institute,Avon,0,1,0,291,20.8,13.9,0.141,0,0,0.017,0.244,0.007,0.014,0.718,47.00218,45.16783
"Greeley,school District No. 6",Greeley,0,1,0,1765,88.7,19.8,0.313,0.01,0.006,0.018,0.32,0.004,0.012,0.631,46.83518,50.5742
Del Norte Consolidated School District No. C-7,Del Norte,0,0,0,146,10.6,13.6,0.726,0,0,0,0.527,0,0.007,0.466,46.79509,38.7098
"Fountain, School District No. 8",Fort Carson,0,0,0,748,46,16.2,0.499,0.178,0.007,0.023,0.235,0.027,0.064,0.467,46.71145,46.5021
"Harrison, School District No. 2",Colorado Springs,0,0,0,532,34.5,15.4,0.727,0.148,0.021,0.024,0.451,0.006,0.068,0.282,46.67855,47.1773
Pueblo County School District 70,Beulah,0,0,0,56,3.9,14.2,0.464,0,0,0,0.196,0,0.054,0.75,46.54486,66.51243
State Charter School Institute,Westminster,1,1,0,354,20.6,17.1,0.907,0.003,0,0,0.949,0,0.003,0.045,46.09409,40.166
Delta County Joint District No. 50,Delta,0,0,0,479,29,16.5,0.574,0.002,0.015,0.025,0.261,0,0.019,0.678,46.01491,53.8302
School District No. 1,Denver,1,1,0,376,25.2,14.8,0.989,0.008,0.005,0.013,0.971,0,0,0.003,45.58355,41.4432
"Falcon, School District No. 49",Falcon,0,0,0,966,14.5,66.2,0.066,0.03,0.002,0.007,0.091,0.003,0.051,0.816,45.55591,50.9345
Mesa County Valley School District No. 51,Grand Junction,0,0,0,505,33.8,14.9,0.517,0.004,0.004,0.004,0.24,0.002,0.053,0.693,44.83164,45.941
School District No. 3,Fountain,0,0,0,776,40,19.3,0.387,0.138,0.015,0.018,0.245,0.008,0.089,0.487,44.68473,39.3712
School District No. C-2,Kiowa,0,0,0,71,6,11.6,0.408,0,0,0,0.099,0,0.028,0.873,44.549,63.9552
School District No. 1,Denver,0,0,0,786,52.8,14.8,0.581,0.234,0.005,0.024,0.327,0,0.061,0.349,44.23327,43.2015
Boulder Valley School District No. Re2,Nederland,0,0,0,308,20.3,15.1,0.231,0,0.006,0.023,0.081,0,0.055,0.834,44.19455,57.2625
Montrose County School District Re-1j,Montrose,0,0,0,594,33,18,0.62,0.007,0,0.005,0.449,0,0.025,0.513,44.17082,43.6091
South Routt School District No. Re 3,Oak Creek,0,0,0,93,8.4,11,0.376,0,0.011,0.011,0.097,0.011,0,0.871,43.98691,39.3562
"Cheraw, School District No. 31",Cheraw,0,0,0,52,3.8,13.3,0.635,0,0,0.019,0.288,0,0.019,0.673,43.73,31.9945
"Mapleton, School District No. 1",Englewood,0,0,0,2161,55.3,39,0.394,0.035,0.008,0.012,0.22,0.001,0.063,0.661,43.724,36.4826
Thompson School District R-2j,Loveland,0,0,0,477,27.9,17,0.352,0.008,0.002,0.008,0.189,0.004,0.027,0.761,43.53836,53.1005
Boulder Valley School District No. Re2,Lafayette,0,0,0,612,36.3,16.8,0.408,0.008,0.005,0.033,0.422,0,0.033,0.5,43.53836,46.5476
Mancos School District Re-6,Mancos,0,0,0,87,7.5,11.4,0.552,0,0.011,0,0.138,0,0.023,0.828,43.29645,41.5848
Mesa County Valley School District No. 51,Grand Junction,0,0,0,569,40,14.2,0.598,0.002,0.009,0.009,0.441,0,0.032,0.508,43.18973,39.3668
"Falcon, School District No. 49",Colorado Springs,1,0,0,610,39.5,15.4,0.454,0.118,0.008,0.034,0.249,0.005,0.077,0.508,43.16736,46.5628
"Greeley,school District No. 6",Greeley,0,1,0,493,27.4,17.9,0.061,0.014,0.014,0.026,0.343,0.004,0.008,0.59,43.154,57.8613
Weld County School District No. Re-5j,Milliken,0,0,0,697,34.8,19.9,0.346,0.003,0,0.001,0.327,0,0.007,0.661,43.06418,49.3795
"Mapleton, School District No. 1",Denver,1,0,0,483,23,21,0.797,0.008,0.017,0.004,0.762,0.002,0.041,0.166,42.69473,35.9047
School District 27j,Henderson,0,1,0,691,35,19.7,0.427,0.02,0.003,0.016,0.457,0.003,0.032,0.469,42.31145,40.3179
Bennett School District No. 29j,Bennett,0,0,0,265,13.8,19,0.377,0.011,0.011,0,0.226,0,0.026,0.725,42.16673,39.1458
Calhan District No. Rj1,Calhan,0,0,0,127,7.1,17.7,0.465,0.016,0,0,0.094,0,0.008,0.882,42.04127,49.7055
Estes Park School District R-3,Estes Park,0,0,0,231,20.6,11.1,0.39,0.004,0.009,0.013,0.242,0.004,0.013,0.714,42.01273,51.9143
School District No. C-1,Elizabeth,0,1,0,404,19.2,20.9,0.104,0.005,0.007,0,0.059,0,0.027,0.901,42.00273,41.9219
Delta County Joint District No. 50,Delta,0,1,0,506,19.8,25.4,0.294,0.018,0.008,0.012,0.045,0,0.032,0.885,41.98727,47.3908
St. Vrain Valley School District No. Re1j,Longmont,0,0,0,657,34.6,18.9,0.528,0.008,0.008,0.026,0.455,0.003,0.008,0.493,41.91664,49.6433
Holyoke School District No. Re-1j,Holyoke,0,0,0,260,19,13.6,0.404,0,0,0,0.438,0,0.012,0.55,41.69675,31.27686
School District No. 1,Denver,1,1,0,800,44.1,18.1,0.611,0.373,0.006,0.081,0.36,0.004,0.046,0.13,40.63109,36.677
"Alamosa School District, No. Re-11j",Alamosa,0,0,0,481,29.9,16,0.726,0.008,0.002,0.01,0.634,0,0.008,0.337,40.581,36.2736
School District No. 3,Colorado Springs,0,0,0,582,34.1,17,0.45,0.096,0.007,0.002,0.289,0.015,0.091,0.5,40.34645,44.6954
"Sangre De Cristo School District, No. Re-22j",Mosca,1,0,0,163,14.8,10.9,0.546,0,0.006,0,0.307,0.006,0.012,0.669,40.19027,30.722
McClave School District No. Re-2,Mc Clave,0,0,0,133,10.2,12.9,0.579,0,0,0,0,0,0.015,0.985,40.15475,51.71814
School District No. 3,Colorado Springs,0,0,0,659,40.3,16.3,0.44,0.099,0.006,0.02,0.258,0.006,0.082,0.53,39.42191,37.3633
Mesa County Valley School District No. 51,Grand Junction,0,0,0,423,1.7,241.7,0.189,0,0.005,0.002,0.045,0,0.026,0.922,39.26827,56.324
Rangely School District Re4,Rangely,0,0,0,221,17.5,12.5,0.321,0.005,0.005,0.005,0.086,0.005,0.018,0.878,38.99955,46.5974
Thompson School District R-2j,Loveland,0,0,0,695,41.3,16.8,0.525,0.023,0.004,0.013,0.25,0,0.027,0.682,38.85236,42.0558
Archuleta County School District No. 50 Jt,Pagosa Springs,1,0,0,423,25.4,16.6,0.577,0,0.014,0.014,0.324,0.002,0.014,0.631,38.83891,44.871
"Aurora, Joint District No. 28",Aurora,0,0,0,745,36.5,20.3,0.552,0.211,0.011,0.042,0.345,0.001,0.05,0.341,38.32473,38.5929
Fremont Re-3,Cotopaxi,1,0,0,116,10.4,11,0.621,0,0.034,0,0.103,0,0.034,0.828,38.26471,44.486
Weld County School District No. Re-7,Kersey,1,0,0,279,19.1,14.5,0.423,0,0.004,0,0.326,0,0.004,0.667,37.97982,36.2613
Roaring Fork School District No. Re-1,Glenwood Springs,0,0,0,572,34.3,16.6,0.399,0.005,0.002,0.007,0.467,0.002,0.024,0.493,37.70355,42.3486
Dolores School District No. Re-4a,Dolores,0,0,0,178,11.7,15.1,0.404,0.006,0.039,0,0.096,0,0.022,0.837,37.29109,54.7005
School District No. Re-2 Brush,Brush,0,0,0,374,22.9,16.3,0.564,0,0,0.005,0.492,0,0.013,0.489,37.13027,28.691
Deer Trail School District No. 26j,Deer Trail,0,0,0,79,10,7.8,0.392,0,0,0,0.101,0,0.013,0.886,37.0405,37.41067
Granada School District No. Re-1,Granada,0,0,0,100,8.6,11.6,0.61,0,0,0,0.68,0,0,0.32,36.979,47.40971
"Aurora, Joint District No. 28",Denver,0,1,0,527,41.3,12.7,0.609,0.142,0.002,0.013,0.548,0,0.032,0.262,36.86255,36.0433
"Aurora, Joint District No. 28",Aurora,0,1,0,539,32.2,16.7,0.481,0.262,0.007,0.03,0.282,0,0.067,0.353,36.81636,51.8424
Strasburg School District 31j,Strasburg,0,0,0,243,13.8,17.5,0.259,0.012,0.008,0.012,0.095,0,0.004,0.868,36.75,50.1106
"Colorado Springs, School District No. 11",Colorado Springs,0,0,0,464,26.3,17.6,0.733,0.045,0.022,0.028,0.289,0.002,0.091,0.524,36.59909,34.02
School District No. Re-20 Weldon Valley,Weldona,1,0,0,39,2.9,13,0.385,0,0,0,0.154,0,0,0.846,36.58275,67.58367
Jefferson County School District No. R-1,Golden,0,0,0,319,15.8,20.1,0.154,0.016,0.019,0.003,0.169,0,0.034,0.759,36.48588,19.55375
