City,Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2013-14)
La Jara,1,0,0,240,16.1,14.8,0.671,0.013,0.008,0,0.596,0.004,0.004,0.375,49.77
Greeley,0,1,0,187,14.1,13.2,0.369,0.021,0.005,0.005,0.358,0.005,0.016,0.588,49.70514
Julesburg,0,0,0,98,7.2,13.5,0.5,0,0,0,0.235,0,0.031,0.735,49.47163
Montrose,0,0,0,510,30,17,0.455,0.008,0.004,0.012,0.278,0.002,0.037,0.659,49.13491
Colorado City,0,0,0,171,10.5,16.2,0.468,0.012,0,0.018,0.135,0,0.023,0.813,49.12973
Colorado Springs,0,0,0,727,38.4,18.9,0.579,0.067,0.012,0.017,0.257,0.004,0.105,0.538,49.00655
Milliken,0,1,0,361,18.3,19.6,0.388,0,0.008,0.03,0.188,0,0.055,0.717,48.69745
Firestone,0,0,0,771,41.7,18.4,0.337,0.009,0.005,0.013,0.224,0.001,0.008,0.739,48.61945
Wiggins,1,0,0,99,7.1,13.8,0.576,0,0.04,0,0.263,0,0.01,0.687,48.51118
Arvada,0,0,0,441,27.6,15.9,0.58,0.032,0.007,0.039,0.345,0.002,0.029,0.546,48.42688
Briggsdale,0,0,0,95,9.4,10,0.347,0,0,0.021,0.074,0,0.011,0.895,48.005
Walden,0,0,0,101,11.5,8.7,0.495,0,0.01,0,0.168,0,0.02,0.802,47.998
Haxtun,1,0,0,229,16.6,13.7,0.336,0,0,0,0.096,0,0,0.904,47.59382
Avon,0,1,0,291,20.8,13.9,0.141,0,0,0.017,0.244,0.007,0.014,0.718,47.00218
Greeley,0,1,0,1765,88.7,19.8,0.313,0.01,0.006,0.018,0.32,0.004,0.012,0.631,46.83518
Del Norte,0,0,0,146,10.6,13.6,0.726,0,0,0,0.527,0,0.007,0.466,46.79509
Fort Carson,0,0,0,748,46,16.2,0.499,0.178,0.007,0.023,0.235,0.027,0.064,0.467,46.71145
Colorado Springs,0,0,0,532,34.5,15.4,0.727,0.148,0.021,0.024,0.451,0.006,0.068,0.282,46.67855
Beulah,0,0,0,56,3.9,14.2,0.464,0,0,0,0.196,0,0.054,0.75,46.54486
Westminster,1,1,0,354,20.6,17.1,0.907,0.003,0,0,0.949,0,0.003,0.045,46.09409
Delta,0,0,0,479,29,16.5,0.574,0.002,0.015,0.025,0.261,0,0.019,0.678,46.01491
Denver,1,1,0,376,25.2,14.8,0.989,0.008,0.005,0.013,0.971,0,0,0.003,45.58355
Falcon,0,0,0,966,14.5,66.2,0.066,0.03,0.002,0.007,0.091,0.003,0.051,0.816,45.55591
Grand Junction,0,0,0,505,33.8,14.9,0.517,0.004,0.004,0.004,0.24,0.002,0.053,0.693,44.83164
Fountain,0,0,0,776,40,19.3,0.387,0.138,0.015,0.018,0.245,0.008,0.089,0.487,44.68473
Kiowa,0,0,0,71,6,11.6,0.408,0,0,0,0.099,0,0.028,0.873,44.549
Denver,0,0,0,786,52.8,14.8,0.581,0.234,0.005,0.024,0.327,0,0.061,0.349,44.23327
Nederland,0,0,0,308,20.3,15.1,0.231,0,0.006,0.023,0.081,0,0.055,0.834,44.19455
Montrose,0,0,0,594,33,18,0.62,0.007,0,0.005,0.449,0,0.025,0.513,44.17082
Oak Creek,0,0,0,93,8.4,11,0.376,0,0.011,0.011,0.097,0.011,0,0.871,43.98691
Cheraw,0,0,0,52,3.8,13.3,0.635,0,0,0.019,0.288,0,0.019,0.673,43.73
Englewood,0,0,0,2161,55.3,39,0.394,0.035,0.008,0.012,0.22,0.001,0.063,0.661,43.724
Loveland,0,0,0,477,27.9,17,0.352,0.008,0.002,0.008,0.189,0.004,0.027,0.761,43.53836
Lafayette,0,0,0,612,36.3,16.8,0.408,0.008,0.005,0.033,0.422,0,0.033,0.5,43.53836
Mancos,0,0,0,87,7.5,11.4,0.552,0,0.011,0,0.138,0,0.023,0.828,43.29645
Grand Junction,0,0,0,569,40,14.2,0.598,0.002,0.009,0.009,0.441,0,0.032,0.508,43.18973
Colorado Springs,1,0,0,610,39.5,15.4,0.454,0.118,0.008,0.034,0.249,0.005,0.077,0.508,43.16736
Greeley,0,1,0,493,27.4,17.9,0.061,0.014,0.014,0.026,0.343,0.004,0.008,0.59,43.154
Milliken,0,0,0,697,34.8,19.9,0.346,0.003,0,0.001,0.327,0,0.007,0.661,43.06418
Denver,1,0,0,483,23,21,0.797,0.008,0.017,0.004,0.762,0.002,0.041,0.166,42.69473
Henderson,0,1,0,691,35,19.7,0.427,0.02,0.003,0.016,0.457,0.003,0.032,0.469,42.31145
Bennett,0,0,0,265,13.8,19,0.377,0.011,0.011,0,0.226,0,0.026,0.725,42.16673
Calhan,0,0,0,127,7.1,17.7,0.465,0.016,0,0,0.094,0,0.008,0.882,42.04127
Estes Park,0,0,0,231,20.6,11.1,0.39,0.004,0.009,0.013,0.242,0.004,0.013,0.714,42.01273
Elizabeth,0,1,0,404,19.2,20.9,0.104,0.005,0.007,0,0.059,0,0.027,0.901,42.00273
Delta,0,1,0,506,19.8,25.4,0.294,0.018,0.008,0.012,0.045,0,0.032,0.885,41.98727
Longmont,0,0,0,657,34.6,18.9,0.528,0.008,0.008,0.026,0.455,0.003,0.008,0.493,41.91664
Holyoke,0,0,0,260,19,13.6,0.404,0,0,0,0.438,0,0.012,0.55,41.69675
Denver,1,1,0,800,44.1,18.1,0.611,0.373,0.006,0.081,0.36,0.004,0.046,0.13,40.63109
Alamosa,0,0,0,481,29.9,16,0.726,0.008,0.002,0.01,0.634,0,0.008,0.337,40.581
Colorado Springs,0,0,0,582,34.1,17,0.45,0.096,0.007,0.002,0.289,0.015,0.091,0.5,40.34645
Mosca,1,0,0,163,14.8,10.9,0.546,0,0.006,0,0.307,0.006,0.012,0.669,40.19027
Mc Clave,0,0,0,133,10.2,12.9,0.579,0,0,0,0,0,0.015,0.985,40.15475
Colorado Springs,0,0,0,659,40.3,16.3,0.44,0.099,0.006,0.02,0.258,0.006,0.082,0.53,39.42191
Grand Junction,0,0,0,423,1.7,241.7,0.189,0,0.005,0.002,0.045,0,0.026,0.922,39.26827
Rangely,0,0,0,221,17.5,12.5,0.321,0.005,0.005,0.005,0.086,0.005,0.018,0.878,38.99955
Loveland,0,0,0,695,41.3,16.8,0.525,0.023,0.004,0.013,0.25,0,0.027,0.682,38.85236
Pagosa Springs,1,0,0,423,25.4,16.6,0.577,0,0.014,0.014,0.324,0.002,0.014,0.631,38.83891
Aurora,0,0,0,745,36.5,20.3,0.552,0.211,0.011,0.042,0.345,0.001,0.05,0.341,38.32473
Cotopaxi,1,0,0,116,10.4,11,0.621,0,0.034,0,0.103,0,0.034,0.828,38.26471
Blanca,1,0,0,256,22.5,11.3,0.859,0.004,0,0.004,0.789,0,0.027,0.176,38.16925
Kersey,1,0,0,279,19.1,14.5,0.423,0,0.004,0,0.326,0,0.004,0.667,37.97982
Glenwood Springs,0,0,0,572,34.3,16.6,0.399,0.005,0.002,0.007,0.467,0.002,0.024,0.493,37.70355
Dolores,0,0,0,178,11.7,15.1,0.404,0.006,0.039,0,0.096,0,0.022,0.837,37.29109
Brush,0,0,0,374,22.9,16.3,0.564,0,0,0.005,0.492,0,0.013,0.489,37.13027
Deer Trail,0,0,0,79,10,7.8,0.392,0,0,0,0.101,0,0.013,0.886,37.0405
Granada,0,0,0,100,8.6,11.6,0.61,0,0,0,0.68,0,0,0.32,36.979
Denver,0,1,0,527,41.3,12.7,0.609,0.142,0.002,0.013,0.548,0,0.032,0.262,36.86255
Aurora,0,1,0,539,32.2,16.7,0.481,0.262,0.007,0.03,0.282,0,0.067,0.353,36.81636
Strasburg,0,0,0,243,13.8,17.5,0.259,0.012,0.008,0.012,0.095,0,0.004,0.868,36.75
Colorado Springs,0,0,0,464,26.3,17.6,0.733,0.045,0.022,0.028,0.289,0.002,0.091,0.524,36.59909
Weldona,1,0,0,39,2.9,13,0.385,0,0,0,0.154,0,0,0.846,36.58275
Golden,0,0,0,319,15.8,20.1,0.154,0.016,0.019,0.003,0.169,0,0.034,0.759,36.48588
Pueblo,1,1,0,1115,76.3,14.5,0.744,0.013,0.007,0.007,0.849,0.003,0.007,0.113,36.05282
Aurora,1,1,0,818,37.7,21.6,0.518,0.293,0.004,0.028,0.336,0.002,0.081,0.256,36.01409
Colorado Springs,1,1,0,295,17.1,17.2,0.644,0.22,0.007,0.003,0.397,0.007,0.081,0.285,35.93086
Kremmling,0,0,0,112,7.9,14,0.42,0,0,0,0.286,0.009,0.018,0.688,35.50373
Cripple Creek,0,0,0,168,13.2,12.6,0.643,0.036,0.024,0,0.101,0.018,0,0.821,35.37263
Canon City,1,0,0,732,44.9,16.2,0.637,0.001,0.008,0.004,0.143,0.004,0.027,0.811,35.28809
Thornton,0,0,0,995,49.2,20.2,0.414,0.021,0.006,0.065,0.334,0,0.006,0.568,34.86155
Colorado Springs,0,0,0,660,36.4,18.1,0.673,0.092,0.008,0.011,0.335,0.002,0.074,0.479,34.69682
Denver,1,0,0,463,25.3,18.2,0.739,0.017,0.015,0.009,0.706,0,0.03,0.222,34.69318
Loveland,0,0,0,659,35.3,18.6,0.49,0.015,0.006,0.012,0.285,0.002,0.027,0.653,34.20691
Julesburg,0,0,0,683,20.2,33.7,0.498,0.02,0.013,0.007,0.242,0,0,0.717,33.975
Carbondale,0,0,0,350,29.5,11.8,0.571,0,0.014,0.009,0.649,0,0.014,0.314,33.87718
Denver,1,1,0,371,26.1,14.1,0.946,0,0.005,0.008,0.968,0,0,0.019,33.83291
Ault,0,0,0,184,14.1,13,0.533,0.005,0.005,0,0.424,0.005,0.027,0.533,33.74264
Golden,0,1,0,374,20.6,18.1,0.008,0.005,0,0.008,0.12,0,0.08,0.786,33.60518
Henderson,0,0,0,821,40,20.5,0.449,0.016,0.01,0.037,0.431,0.001,0.026,0.48,33.39982
Grand Junction,0,0,0,622,41,15.1,0.539,0.01,0.005,0.006,0.251,0,0.035,0.693,33.23755
Pueblo West,0,0,0,494,31,15.9,0.494,0.018,0.006,0.008,0.366,0.004,0.034,0.563,33.14118
Ordway,1,0,0,107,6.6,16.1,0.71,0.009,0.028,0.009,0.308,0,0.009,0.636,33.08464
Denver,0,0,0,510,38.7,13.1,0.59,0.216,0.01,0.039,0.267,0.006,0.065,0.398,32.85509
Naturita,1,0,0,157,13.1,11.9,0.554,0.013,0,0,0.051,0,0,0.936,32.82686
Fort Morgan,0,0,0,461,32.6,14.1,0.707,0.033,0.004,0.002,0.646,0.002,0.007,0.306,32.81025
Lakewood,0,0,0,309,24.6,12.5,0.392,0.013,0.01,0.013,0.11,0,0.032,0.822,32.77963
Pueblo,1,0,0,735,37.3,19.6,0.707,0.008,0.001,0.008,0.722,0,0.008,0.252,32.74627
Edwards,1,0,0,354,24.5,14.4,0.638,0.003,0.008,0.003,0.763,0.003,0.008,0.212,32.62664
Keenesburg,1,0,0,450,26.6,16.8,0.609,0.011,0.004,0.004,0.398,0,0.031,0.551,32.32518
Arvada,0,1,0,584,23,25.3,0.17,0.007,0.007,0.019,0.077,0,0.029,0.861,31.92725
Rush,1,0,0,77,4.7,16.3,0.636,0.013,0.013,0,0.169,0,0.052,0.753,31.90273
Lamar,1,0,0,353,21.5,16.3,0.705,0,0.02,0.003,0.575,0,0.003,0.399,31.25964
Canon City,0,0,0,386,22,17.5,0.604,0,0.01,0.008,0.14,0,0.034,0.808,31.094
Northglenn,0,0,0,1089,56.8,19.1,0.531,0.026,0.013,0.054,0.399,0,0.017,0.491,30.94836
Aurora,0,0,0,1007,56.1,17.9,0.481,0.189,0.01,0.044,0.265,0.003,0.073,0.416,30.90909
Burlington,1,0,0,208,14.3,14.4,0.534,0,0.005,0.01,0.399,0,0,0.587,30.86291
Colorado Springs,0,0,0,859,53.5,16,0.668,0.088,0.002,0.021,0.321,0.001,0.084,0.482,30.84836
Springfield,1,0,0,131,15.1,8.6,0.603,0.008,0,0,0.115,0,0.038,0.84,30.69738
Fort Collins,0,0,0,488,35.5,13.7,0.695,0.008,0.01,0.01,0.514,0,0.02,0.436,30.27927
Holly,1,0,0,52,3.8,13.3,0.673,0,0.038,0,0.423,0,0.019,0.519,29.5135
Yuma,1,0,0,225,24.5,9.1,0.693,0,0,0,0.551,0,0.004,0.444,29.10836
Commerce City,0,0,0,621,26.9,23,0.396,0.04,0,0.031,0.415,0.002,0.035,0.477,29.04582
Colorado Springs,0,0,0,272,19.6,13.8,0.761,0.018,0.022,0.026,0.316,0,0.077,0.54,28.91918
Castle Rock,0,0,0,261,9.9,26.3,0.011,0.015,0.015,0.004,0.107,0,0.05,0.808,27.98467
Colorado Springs,1,0,1,415,26,15.9,0.827,0.222,0.01,0.019,0.477,0.007,0.048,0.217,27.83473
Florence,1,0,0,349,21.7,16,0.573,0.011,0.003,0.003,0.192,0,0.037,0.754,27.80282
Calhan,0,0,0,198,12.3,15.9,0.702,0.02,0.005,0.005,0.288,0.005,0.051,0.626,27.76882
La Salle,0,0,0,256,17.8,14.3,0.574,0,0.016,0.004,0.59,0,0.016,0.375,27.62073
Las Animas,1,0,0,62,3.1,19.7,0.823,0,0,0,0.532,0,0,0.468,27.53875
Collbran,0,0,0,92,7.2,12.7,0.283,0,0,0,0.12,0,0.011,0.87,27.06682
Thornton,1,0,1,748,44,17,0.69,0.012,0.005,0.024,0.754,0.001,0.023,0.18,27.0298
Aurora,0,0,0,1705,100.4,16.9,0.669,0.284,0.008,0.056,0.355,0.004,0.05,0.243,26.95909
Wray,1,0,0,197,11,17.7,0.624,0.015,0,0.005,0.264,0,0.025,0.69,26.51845
Federal Heights,1,1,0,537,23.7,22.6,0.585,0.009,0.002,0.05,0.706,0,0.011,0.222,26.27055
Pueblo,0,0,0,280,16,17.5,0.725,0.007,0.004,0.004,0.429,0.004,0.011,0.543,26.14655
Northglenn,0,1,0,2672,71.2,37.5,0.167,0.044,0.015,0.013,0.26,0.003,0,0.665,26.10436
Byers,0,0,0,238,12.6,18.7,0.408,0.017,0,0,0.105,0.008,0.046,0.824,25.9965
Platteville,0,0,0,189,13.3,14.1,0.608,0.011,0.005,0,0.519,0.005,0,0.46,25.84027
Aurora,0,0,0,570,30.2,18.8,0.709,0.146,0.011,0.028,0.604,0.002,0.058,0.153,25.67536
Rifle,0,0,0,774,47,16.4,0.623,0.001,0.004,0.003,0.469,0,0.019,0.504,25.49409
Denver,1,1,0,362,27.2,13.2,0.964,0.003,0.008,0.006,0.975,0.003,0,0.006,25.20055
Cortez,0,0,0,594,39.2,15.1,0.603,0.003,0.242,0.007,0.18,0.01,0.034,0.524,25.01645
Antonito,1,0,0,45,4.3,10.2,0.711,0,0.044,0,0.889,0,0,0.067,24.92167
Colorado Springs,0,0,0,230,12,19.1,0.517,0.061,0.017,0.009,0.257,0.004,0.035,0.617,24.7105
Denver,1,1,0,290,23.6,12.2,0.917,0.283,0.007,0.01,0.634,0,0.031,0.034,24.39614
Wheat Ridge,0,0,0,429,27.4,15.6,0.66,0.016,0.016,0.014,0.431,0.005,0.033,0.485,24.11175
Clifton,0,0,0,568,41.2,13.7,0.637,0.005,0.005,0.002,0.269,0,0.026,0.692,24.07536
Longmont,0,0,0,432,28.7,15,0.838,0.019,0.005,0.009,0.667,0,0.009,0.292,23.97255
Colorado Springs,1,0,0,121,10.5,11.4,0.595,0.008,0.017,0.008,0.298,0,0.041,0.628,23.41409
Parachute,0,0,0,228,17.1,13.2,0.518,0.009,0.044,0,0.325,0,0.022,0.601,23.40755
Trinidad,0,0,0,266,12.4,21.3,0.744,0.004,0.011,0.015,0.812,0,0.004,0.154,23.23764
Arvada,1,0,0,602,43.3,13.8,0.827,0.028,0.015,0.023,0.49,0.008,0.032,0.404,23.21291
Denver,1,1,0,320,27.5,11.6,0.9,0.022,0.009,0.009,0.928,0,0,0.031,23.17518
Aurora,0,1,0,790,44.1,17.9,0.6,0.301,0.01,0.029,0.449,0.001,0.01,0.199,23.07145
Walsenburg,1,0,0,311,25.1,12.3,0.826,0.019,0.042,0.006,0.659,0,0,0.273,22.97691
Norwood,0,0,0,130,12.1,10.6,0.469,0.008,0.038,0.015,0,0,0.015,0.923,22.63175
Denver,1,0,0,523,33,15.8,0.736,0.153,0.006,0.094,0.384,0.006,0.027,0.331,22.436
Colorado Springs,1,1,0,394,36.3,10.8,0.784,0.183,0.003,0.003,0.454,0,0.066,0.292,22.01718
Craig,0,0,0,505,31.4,16,0.469,0.006,0.014,0.002,0.22,0,0.014,0.745,21.88645
Denver,1,1,0,473,30.4,15.5,0.882,0.017,0.008,0,0.915,0.004,0,0.055,21.84836
Fort Lupton,0,0,0,486,31.9,15.1,0.702,0.002,0.002,0.004,0.73,0,0.008,0.253,21.81718
La Junta,0,0,0,549,31.1,17.6,0.641,0.002,0.004,0.002,0.61,0,0.022,0.361,20.877
Brighton,0,0,0,572,30.3,18.8,0.652,0.016,0.01,0.003,0.642,0,0.024,0.304,20.80836
Denver,1,0,0,787,51.2,15.3,0.867,0.024,0.006,0.076,0.766,0.004,0.015,0.108,20.34755
Brighton,0,0,0,650,33.5,19.3,0.56,0.008,0.008,0.009,0.577,0,0.018,0.38,20.27191
Center,1,0,0,127,8.9,14.1,0.913,0,0.016,0,0.937,0,0.008,0.039,20.122
Aurora,0,1,0,482,23.5,20.4,0.55,0.266,0.008,0.017,0.376,0.002,0.05,0.282,20.06709
Aurora,0,1,0,1088,70.7,15.3,0.574,0.178,0,0.046,0.526,0.002,0.07,0.178,19.64273
Denver,1,0,0,444,27.2,16.3,0.883,0.041,0.007,0.043,0.773,0,0.023,0.115,19.41027
Arvada,0,1,0,279,15.5,17.9,0.448,0.029,0.007,0.032,0.427,0,0.018,0.487,19.16745
Otis,0,0,0,83,9.1,9,0.373,0.012,0,0,0.096,0,0.048,0.843,19.037
Colorado Springs,1,0,1,503,32.7,15.3,0.829,0.109,0.008,0.014,0.372,0.002,0.07,0.425,18.42555
Colorado Springs,0,0,0,493,30.9,15.9,0.783,0.227,0.03,0.045,0.46,0.002,0.043,0.193,17.99718
Monte Vista,0,0,0,230,17.1,13.4,0.774,0.004,0.017,0,0.783,0,0.009,0.187,17.57418
Greeley,0,0,0,654,37.2,17.5,0.8,0.008,0.003,0.011,0.739,0,0.011,0.229,16.261
Denver,1,0,0,916,50.2,18.2,0.735,0.362,0.012,0.057,0.441,0.002,0.044,0.082,16.19082
Denver,1,0,0,441,23.2,18.9,0.884,0,0.005,0.002,0.959,0,0.009,0.025,15.93418
Colorado Springs,1,1,0,677,33.2,20.3,0.885,0.213,0.007,0.009,0.554,0.007,0.052,0.158,15.84518
Englewood,0,0,0,264,24.8,10.6,0.689,0.053,0.015,0.008,0.409,0,0.049,0.466,15.82463
Dove Creek,0,0,0,128,9.2,13.8,0.445,0,0.031,0,0.016,0,0.023,0.93,15.43075
Frederick,0,0,0,744,42.8,17.3,0.647,0.003,0.004,0.008,0.61,0,0.009,0.366,15.23273
Grand Junction,0,0,0,182,7.6,23.8,0.181,0.005,0.011,0.005,0.088,0,0.038,0.852,15.061
Rocky Ford,1,0,0,331,27.2,12.1,0.758,0.006,0.006,0.009,0.722,0,0,0.257,15.0525
Greeley,1,0,0,722,44,16.4,0.921,0.035,0.004,0,0.888,0,0.01,0.064,14.81186
Denver,1,0,0,939,53.2,17.6,0.835,0.029,0.007,0.032,0.778,0,0.027,0.127,14.69027
Englewood,1,0,0,313,22.2,14,0.904,0.045,0.013,0.032,0.77,0,0.01,0.131,14.56882
Denver,1,0,0,318,19.7,16.1,0.931,0.44,0.009,0.009,0.406,0.003,0.047,0.085,14.56129
Denver,1,0,0,666,38.2,17.4,0.952,0.096,0.003,0.024,0.857,0.002,0.009,0.009,14.47327
Olathe,0,0,0,253,16.2,15.6,0.704,0,0,0.004,0.522,0,0.028,0.447,14.469
Thornton,1,0,1,514,29,17.6,0.691,0.018,0.01,0.025,0.743,0,0.021,0.183,13.67736
Aurora,0,0,0,1132,62.1,18.2,0.455,0.072,0.008,0.02,0.441,0.005,0.067,0.386,13.40245
Commerce City,1,0,0,774,45,17.2,0.885,0.018,0.006,0.003,0.84,0,0.009,0.124,13.32136
Greeley,0,0,0,573,31.6,18.1,0.801,0.024,0.002,0.003,0.703,0.002,0.012,0.253,12.88327
Northglenn,0,0,0,806,44.7,18,0.78,0.037,0.011,0.036,0.537,0.001,0.011,0.366,12.85882
Denver,1,1,0,501,35.3,14.1,0.95,0.054,0.004,0,0.936,0,0.002,0.004,12.84082
Ignacio,0,0,0,176,14.6,11.9,0.477,0.006,0.239,0,0.347,0,0.068,0.341,12.71736
Denver,1,1,0,333,27.4,12.1,0.943,0.036,0.021,0.003,0.91,0,0.015,0.015,12.52755
Leadville,1,0,0,294,20.5,14.3,0.769,0,0.007,0,0.718,0,0.02,0.255,12.26573
Denver,1,0,0,464,31.7,14.6,0.709,0.019,0.026,0.004,0.711,0.002,0.009,0.228,12.138
Pueblo,1,0,0,352,27.9,12.6,0.824,0.017,0.006,0.006,0.739,0,0.017,0.216,12.06
Aurora,0,0,0,930,50.3,18.4,0.768,0.271,0.009,0.038,0.513,0.006,0.04,0.124,11.94827
Thornton,1,0,1,520,32.2,16.1,0.79,0.006,0,0.029,0.738,0.002,0.015,0.21,11.94545
Commerce City,1,0,0,783,40,19.5,0.879,0.032,0.009,0.001,0.848,0,0.004,0.106,11.83227
Colorado Springs,1,0,0,512,33.6,15.2,0.873,0.152,0.027,0.018,0.506,0.012,0.031,0.254,11.72718
Denver,1,0,0,135,12.5,10.8,0.852,0.496,0.022,0,0.341,0.022,0.015,0.104,11.727
Lakewood,1,0,0,498,35.4,14,0.855,0.018,0.004,0.036,0.767,0,0.024,0.151,11.22775
Westminster,0,0,0,615,32.4,18.9,0.766,0.01,0.01,0.055,0.628,0,0.02,0.278,11.21791
Denver,1,0,0,229,19.9,11.4,0.843,0.245,0,0.017,0.646,0.009,0.035,0.048,10.84636
Denver,1,0,0,772,45,17.1,0.891,0.005,0.006,0.062,0.786,0,0.018,0.122,10.54591
Pueblo,1,0,0,310,20,15.4,0.774,0.016,0.01,0.006,0.626,0.003,0.032,0.306,10.34945
Denver,1,0,0,484,27.2,17.7,0.746,0.236,0.008,0.019,0.349,0,0.056,0.333,10.03055
Aurora,0,0,0,909,44.5,20.4,0.717,0.254,0.011,0.04,0.466,0,0.045,0.184,9.85755
San Luis,1,0,0,54,6.3,8.4,0.833,0.019,0,0,0.889,0,0,0.093,9.13714
Pueblo,1,0,0,369,34.2,10.7,0.973,0.014,0.003,0.003,0.864,0,0.005,0.111,8.90864
Thornton,1,0,1,484,26.8,18,0.771,0.017,0.01,0.023,0.682,0.002,0.041,0.225,8.83691
Denver,1,1,0,588,36.5,16,0.959,0.206,0.009,0,0.759,0,0.012,0.015,8.53373
Aurora,1,0,0,879,41.3,21.2,0.829,0.154,0.011,0.013,0.729,0.006,0.024,0.064,8.446
Wheat Ridge,1,0,0,513,41.4,12.3,0.864,0.014,0.021,0.01,0.69,0,0.027,0.238,8.32145
Thornton,0,0,0,616,31.1,19.7,0.622,0.026,0.016,0.002,0.659,0.003,0.023,0.271,8.10113
Greeley,0,0,0,784,41.2,19,0.843,0.013,0,0.008,0.811,0.001,0.011,0.156,8.06018
Denver,1,0,0,1054,67,15.7,0.961,0.287,0.002,0.277,0.322,0.01,0.023,0.079,7.94873
Denver,1,0,0,1152,67.5,17,0.885,0.241,0.002,0.03,0.662,0.004,0.023,0.037,7.79173
Denver,1,0,1,829,56.3,14.7,0.935,0.144,0.001,0.004,0.818,0.001,0.021,0.012,7.77218
Denver,1,0,0,723,42.7,16.9,0.888,0.155,0.007,0.011,0.786,0.001,0.018,0.022,7.59973
Aurora,1,0,0,1045,58.8,17.7,0.85,0.16,0.003,0.046,0.69,0.006,0.019,0.077,7.39882
Greeley,1,0,0,625,37.8,16.5,0.901,0.053,0,0.072,0.733,0,0.013,0.13,7.03427
Denver,1,0,0,600,33,18.1,0.845,0.018,0.005,0.008,0.873,0,0.008,0.087,6.59136
Denver,1,0,0,386,23.7,16.2,0.961,0.062,0.018,0.021,0.839,0.003,0.005,0.052,6.57391
Thornton,1,0,0,849,52,16.3,0.826,0.027,0.012,0.025,0.743,0.001,0.005,0.187,6.35827
Aurora,1,0,0,743,43,17.2,0.872,0.21,0.007,0.022,0.682,0.001,0.026,0.052,6.19964
Pueblo,1,0,0,452,32.7,13.7,0.909,0.038,0.007,0,0.796,0,0.015,0.144,6.16327
Denver,1,0,0,870,63.9,13.5,0.977,0.106,0.005,0.003,0.854,0,0.015,0.017,6.05445
Denver,1,0,0,587,29,20.2,0.879,0.329,0.003,0.01,0.581,0.007,0.029,0.041,5.66491
Denver,1,0,0,594,29.5,20.1,0.88,0.012,0.003,0.042,0.843,0.002,0.015,0.082,5.623
Denver,1,0,0,519,38,13.6,0.95,0.118,0.031,0,0.802,0,0.017,0.033,5.56109
Falcon,1,0,0,249,12.3,20.1,0.341,0.076,0.004,0.024,0.177,0.004,0.068,0.647,5.0975
Pueblo,1,0,0,539,34.3,15.7,0.805,0.03,0.007,0.004,0.729,0,0.007,0.223,4.59527
Colorado Springs,1,1,0,244,16.4,14.8,0.877,0.086,0,0.008,0.684,0,0.016,0.205,4.435
Denver,1,0,1,471,24.5,19.2,0.8,0.019,0.011,0.006,0.824,0,0.015,0.125,4.28918
Denver,1,0,0,796,50.5,15.7,0.985,0.029,0.004,0.02,0.916,0,0.004,0.028,4.14527
Denver,1,0,0,244,13.8,17.5,0.824,0.381,0.012,0.004,0.52,0,0.02,0.061,3.9028
Aurora,1,0,0,1241,60.8,20.4,0.901,0.093,0.005,0.091,0.738,0.002,0.018,0.054,3.78227
Aurora,1,0,0,474,28.7,16.4,0.842,0.133,0.006,0.154,0.654,0.002,0.019,0.032,3.767
Northglenn,0,0,0,302,26.9,11.2,0.483,0.04,0.017,0.003,0.49,0.003,0.023,0.424,3.15763
Denver,1,0,0,157,19.7,7.9,0.777,0.013,0.006,0.013,0.892,0,0.006,0.07,2.84963
Colorado Springs,1,0,0,198,20,9.9,0.763,0.106,0,0.01,0.48,0,0.056,0.348,2.46425
Colorado Springs,1,0,0,73,4,18.2,0.699,0.192,0.027,0.014,0.466,0,0.068,0.233,1.91775
Denver,1,0,0,154,21.2,7.2,0.799,0.266,0.006,0,0.623,0.013,0.013,0.078,1.82
Golden,0,0,0,41,10,4.1,0.683,0,0.024,0,0.512,0,0,0.463,1.7555
Pueblo,1,1,0,158,9.8,16,0.778,0.019,0.025,0,0.791,0,0,0.165,0.22467
