Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2014)
No,1,0,750,46.4,16.1,0.124,0.049,0.005,0.032,0.181,0.003,0.077,0.652,74.18679
No,0,0,563,30.6,18.3,0.158,0,0.002,0.004,0.139,0,0.011,0.845,73.94773
No,0,0,515,24.5,21,0.264,0.008,0.012,0.016,0.206,0.002,0.041,0.717,73.89393
No,1,0,528,26.6,19.8,0.263,0.036,0,0.019,0.223,0.006,0.044,0.672,73.79664
No,0,0,588,31.2,18.8,0.07,0.003,0.002,0.051,0.109,0.002,0.049,0.784,73.67021
No,0,0,439,27,16.2,0.178,0.014,0,0.032,0.13,0,0.075,0.749,73.25245
No,1,0,643,30.6,21,0.198,0.014,0.002,0.045,0.199,0,0.056,0.684,73.23786
Yes,0,0,286,18,15.8,0.399,0,0.049,0.003,0.276,0,0.028,0.643,73.20645
No,0,0,520,28,18.5,0.138,0.01,0.002,0.033,0.113,0,0.04,0.802,73.11721
No,0,0,760,44.9,16.9,0.158,0.007,0.003,0.017,0.171,0,0.057,0.746,73.02871
No,1,0,285,19,14.9,0.218,0.007,0.007,0.035,0.091,0,0.025,0.835,72.96507
No,0,0,692,37.5,18.4,0.061,0.004,0.004,0.033,0.077,0,0.055,0.827,72.63227
No,0,0,443,22.8,19.3,0.318,0.016,0.005,0.025,0.233,0.009,0.038,0.675,72.48257
No,0,0,419,24.7,16.9,0.446,0.002,0,0.031,0.31,0.002,0.024,0.63,72.16036
No,0,0,319,20.7,15.3,0.42,0.075,0.003,0.028,0.245,0.003,0.05,0.596,72.14373
No,0,1,460,24,19.1,0.191,0.009,0.004,0.059,0.124,0,0.028,0.776,71.958
No,0,0,631,32,19.7,0.206,0.006,0.021,0.003,0.122,0.002,0.032,0.815,71.93055
No,0,0,608,32,19,0.248,0.028,0.008,0.044,0.184,0.002,0.031,0.702,71.60464
No,0,0,359,18,19.9,0.27,0.025,0.017,0.028,0.237,0,0.078,0.616,71.45709
No,1,0,678,35.2,19.2,0.161,0.009,0,0.032,0.099,0.004,0.069,0.786,71.41064
No,0,0,548,28.5,19.2,0.392,0.013,0,0.018,0.38,0,0.026,0.564,71.33291
No,0,0,631,34,18.5,0.143,0.095,0.002,0.059,0.143,0.002,0.059,0.642,71.257
No,0,0,424,22,19.2,0.465,0.007,0.005,0,0.127,0,0.045,0.816,71.24882
Yes,0,0,467,29,16.1,0.4,0.058,0.009,0.002,0.227,0.013,0.122,0.57,71.13291
No,0,0,625,36.6,17,0.51,0.002,0.005,0.003,0.488,0,0.018,0.485,71.07643
No,1,0,384,22.4,17.1,0.161,0.034,0.008,0.008,0.07,0.005,0.044,0.831,70.83214
No,0,0,413,23.2,17.8,0.259,0.007,0.002,0.015,0.15,0,0.039,0.787,70.80518
No,0,0,551,28.2,19.5,0.04,0.02,0.007,0.054,0.087,0,0.053,0.779,70.60371
No,0,0,593,27.9,21.2,0.172,0.005,0.002,0.008,0.14,0.002,0.005,0.838,70.51418
No,0,0,499,28,17.8,0.17,0.006,0.008,0.054,0.15,0,0.03,0.752,70.43591
No,0,0,661,37.2,17.7,0.198,0.017,0.005,0.132,0.153,0,0.047,0.648,70.41036
No,0,0,244,16.6,14.6,0.09,0,0.008,0.004,0.02,0,0.016,0.951,70.3875
No,0,0,592,32.7,18,0.231,0.005,0.007,0.049,0.155,0.002,0.054,0.728,70.17836
Yes,0,0,524,26.6,19.6,0.258,0.008,0.004,0.004,0.298,0,0.021,0.666,69.97264
No,0,0,207,11.7,17.6,0.372,0.005,0.01,0,0.227,0.005,0.005,0.749,69.77491
No,1,0,517,25.6,20.1,0.182,0.004,0,0.027,0.133,0.002,0.046,0.787,69.63121
Yes,0,0,218,18.7,11.6,0.633,0,0,0,0.275,0,0,0.725,69.35786
No,0,0,271,20.2,13.3,0.28,0.011,0.007,0.015,0.288,0.004,0.018,0.657,69.29418
No,0,0,333,16.8,19.7,0.393,0.021,0.003,0.024,0.252,0.003,0.033,0.664,69.1085
Yes,0,0,240,15.1,15.8,0.529,0.025,0.004,0.013,0.121,0.017,0.029,0.792,68.96418
Yes,0,0,149,14.8,10,0.369,0,0,0.007,0.128,0,0.04,0.826,68.86964
No,0,0,399,22.4,17.8,0.246,0.005,0.005,0.038,0.143,0,0.018,0.792,68.802
No,1,0,1866,87.2,21.3,0.183,0.014,0.006,0.068,0.251,0.001,0.025,0.635,68.78342
No,1,0,743,28.4,26.1,0.129,0.011,0.001,0.005,0.21,0.001,0.02,0.751,68.78336
No,0,0,402,18.1,22.1,0.179,0.01,0.012,0.072,0.149,0,0.075,0.682,68.68436
No,0,0,506,26.7,18.9,0.324,0.01,0.002,0.091,0.198,0,0.045,0.654,68.58571
No,0,0,367,19.9,18.3,0.24,0.005,0.003,0.016,0.054,0.008,0.005,0.907,68.54173
Yes,0,0,846,46,18.3,0.352,0.137,0.011,0.022,0.221,0.008,0.093,0.507,68.52573
No,0,0,270,19,14.2,0.707,0.052,0.011,0,0.352,0.004,0.085,0.496,68.41027
Yes,0,0,576,34,16.9,0.637,0.005,0.002,0.031,0.319,0.003,0.017,0.622,68.32555
No,1,0,162,11.9,13.5,0.093,0,0.006,0.012,0.062,0,0.043,0.877,68.2351
No,0,0,651,31.7,20.5,0.094,0.005,0.003,0.009,0.091,0.002,0.049,0.842,68.22755
No,0,0,462,21,21.9,0.258,0.004,0.009,0.011,0.145,0,0.022,0.81,68.18418
No,0,0,1111,57.6,19.2,0.427,0.011,0.007,0.077,0.316,0.003,0.034,0.553,68.10921
No,0,0,538,28.6,18.8,0.188,0.022,0.002,0.026,0.13,0.006,0.045,0.77,68.10264
No,0,0,698,39.6,17.5,0.117,0.039,0.007,0.021,0.116,0.003,0.069,0.745,68.02991
No,0,0,376,18.5,20.3,0.213,0.008,0.005,0.019,0.154,0,0.024,0.79,67.90164
No,0,0,546,29.3,18.6,0.095,0.013,0.004,0.022,0.139,0,0.049,0.773,67.858
No,0,0,417,22.6,18.3,0.329,0.01,0.01,0.122,0.225,0,0.06,0.573,67.77643
Yes,0,0,307,14.4,21.1,0.544,0.007,0.01,0.003,0.309,0,0.042,0.629,67.73645
No,0,0,587,34.6,16.9,0.162,0.014,0.005,0.009,0.099,0.003,0.055,0.816,67.60986
No,0,0,613,35.1,17.4,0.259,0.042,0.007,0.024,0.157,0.008,0.067,0.695,67.57691
No,0,0,424,15.6,27,0.325,0.014,0.007,0.028,0.175,0.007,0.045,0.724,67.5705
No,0,0,458,30.5,15,0.36,0.098,0.015,0.031,0.197,0.009,0.066,0.585,67.53791
No,0,0,348,20.2,17.2,0.23,0.009,0.003,0.026,0.121,0,0.029,0.813,67.49845
No,0,0,486,24.1,20.1,0.123,0.004,0.002,0.014,0.136,0,0.049,0.794,67.42291
No,0,0,740,37.7,19.5,0.226,0.008,0.004,0.099,0.254,0.001,0.066,0.568,67.32555
No,1,0,746,53,14,0.157,0.035,0.004,0.017,0.194,0.004,0.121,0.625,67.1965
No,1,0,555,26,21.3,0.121,0.065,0.002,0.088,0.2,0.004,0.049,0.593,67.149
Yes,0,0,128,11,11.6,0.367,0.031,0,0,0.055,0,0,0.914,67.04863
No,0,0,392,26.5,14.7,0.168,0,0.003,0.005,0.097,0,0.038,0.857,66.84373
Yes,0,0,330,20.6,16,0.258,0,0.009,0.009,0.218,0,0.024,0.739,66.75936
No,0,0,628,34,18.4,0.279,0.019,0.006,0.049,0.196,0,0.027,0.702,66.74873
Yes,0,0,514,42.3,12.1,0.263,0,0,0.01,0.185,0.004,0.014,0.788,66.67693
No,0,0,159,9.6,16.4,0.176,0,0,0.006,0.088,0,0.031,0.874,66.615
Yes,1,0,279,22.9,12.1,0.319,0.039,0.011,0.079,0.14,0,0.036,0.695,66.55073
Yes,0,0,489,26,18.8,0.675,0.219,0.018,0.01,0.38,0.014,0.057,0.301,66.419
No,0,0,635,35.9,17.6,0.192,0.047,0.003,0.061,0.169,0.005,0.074,0.641,66.28564
Yes,0,0,109,10.8,10,0.55,0,0.009,0,0.33,0,0,0.661,66.231
No,0,0,387,30.3,12.7,0,0.018,0.003,0.034,0.109,0,0.067,0.77,66.16714
Yes,0,0,453,26.7,16.9,0.298,0.018,0.009,0.013,0.068,0.004,0.022,0.865,66.15364
No,0,0,654,40.9,15.9,0.257,0.087,0.008,0.014,0.213,0.017,0.11,0.552,66.09318
No,0,0,273,16.1,16.9,0.125,0.007,0.018,0.022,0.084,0,0.051,0.817,65.78843
No,0,0,354,21.1,16.7,0.412,0.037,0.023,0.017,0.195,0,0.056,0.672,65.68473
No,0,1,711,40,17.7,0.63,0.003,0.001,0.006,0.518,0,0.024,0.449,65.66686
No,0,0,470,27,17.4,0.347,0.166,0.002,0.036,0.202,0,0.062,0.532,65.55145
No,0,0,743,42.1,17.6,0.155,0.023,0,0.012,0.131,0.001,0.065,0.769,65.54691
No,0,0,318,19.2,16.5,0.472,0.013,0.003,0.009,0.226,0,0.05,0.698,65.52436
No,0,0,610,35.8,17,0.074,0.005,0,0.02,0.098,0.002,0.031,0.844,65.52293
No,0,0,526,25.5,20.6,0.262,0.032,0.008,0.067,0.162,0.002,0.019,0.711,65.41491
No,0,0,413,22.2,18.5,0.521,0.01,0.027,0,0.303,0,0.027,0.634,65.396
Yes,0,0,272,16.9,16,0.79,0.007,0.004,0,0.382,0,0.018,0.588,65.37664
No,0,0,548,26.5,20.6,0.288,0.004,0.005,0.029,0.193,0,0.04,0.728,65.23171
Yes,0,0,165,10.4,15.8,0.309,0.024,0.018,0,0.079,0,0.018,0.861,65.183
Yes,0,0,308,24,12.8,0.51,0.003,0,0,0.458,0,0.01,0.529,65.16486
No,0,0,104,7.3,14.1,0.337,0,0,0.029,0.087,0,0.019,0.865,65.07191
No,0,0,553,33.3,16.5,0.465,0.029,0.014,0.042,0.418,0,0.033,0.465,65.005
No,0,0,583,28.1,20.7,0.266,0.002,0.002,0.012,0.197,0,0.039,0.748,64.875
No,0,0,342,19,17.9,0.567,0.012,0.009,0.006,0.295,0.003,0.015,0.661,64.72107
No,0,0,490,29.3,16.7,0.355,0.004,0.061,0.012,0.188,0.002,0.027,0.706,64.55545
No,0,0,408,26.5,15.3,0.463,0.017,0,0.01,0.277,0,0.025,0.672,64.49955
No,1,0,327,19.5,16.7,0.171,0,0.009,0.009,0.15,0,0.034,0.798,64.46179
No,1,0,190,7.4,25.3,0.274,0.016,0.005,0.021,0.095,0,0.005,0.858,64.44978
No,1,0,1044,35.8,29.1,0.367,0.01,0.008,0.097,0.276,0.003,0.038,0.569,64.033
No,0,0,452,22.5,20,0.381,0.015,0.004,0.024,0.153,0,0.035,0.768,63.97786
Yes,0,0,201,13.8,14.5,0.801,0,0.02,0,0.463,0.005,0.035,0.478,63.83255
No,0,0,418,26.8,15.5,0.294,0.007,0,0.053,0.201,0,0.043,0.696,63.68227
Yes,0,0,199,17.3,11.4,0.377,0,0,0,0.211,0,0.045,0.744,63.58809
No,0,0,632,31.5,20,0.231,0.011,0.009,0.074,0.241,0,0.032,0.633,63.46155
No,0,0,518,25,20.7,0.131,0.014,0.002,0.069,0.164,0.002,0.025,0.724,63.29891
No,0,0,484,23.5,20.5,0.256,0.004,0.002,0.019,0.114,0,0.031,0.831,63.20879
No,0,0,753,40.8,18.4,0.149,0.015,0.005,0.04,0.138,0.003,0.027,0.773,63.11793
Yes,0,0,142,10.3,13.7,0.62,0.007,0.014,0,0.113,0,0.028,0.838,63.03955
No,1,0,463,26,17.7,0.464,0.006,0.002,0.043,0.51,0.004,0.026,0.408,62.90121
Yes,0,0,161,11.7,13.6,0.609,0.006,0.006,0,0.398,0,0.019,0.571,62.84291
No,0,0,936,54.4,17.1,0.25,0.019,0.002,0.024,0.141,0,0.063,0.751,62.77386
No,0,0,390,24.4,15.9,0.531,0.059,0,0.01,0.251,0.005,0.113,0.562,62.694
Yes,0,0,430,27,15.8,0.426,0.079,0,0.009,0.265,0.016,0.095,0.535,62.642
Yes,0,0,339,17.3,19.5,0.499,0.006,0,0.012,0.177,0,0.05,0.755,62.59482
Yes,0,0,425,29,14.6,0.442,0.005,0.009,0.005,0.162,0,0.026,0.793,62.50743
No,0,0,264,16.3,16.1,0.485,0,0.008,0,0.22,0,0.03,0.742,62.27555
No,0,0,350,17.5,19.9,0.254,0.014,0,0.023,0.12,0,0.031,0.811,62.21964
No,0,0,635,36.5,17.3,0.216,0.085,0.006,0.077,0.153,0.002,0.046,0.631,62.05382
No,0,0,401,23.4,17.1,0.209,0.01,0.005,0.005,0.17,0,0.005,0.805,61.98445
No,0,0,632,31.5,20,0.389,0.033,0.002,0.033,0.288,0,0.022,0.622,61.98309
No,0,0,321,18.5,17.3,0.414,0.009,0,0.012,0.159,0,0.04,0.779,61.96436
No,0,0,457,26.5,17.2,0.352,0.009,0.002,0.015,0.219,0,0.018,0.737,61.87436
Yes,0,0,488,32.9,14.8,0.381,0.006,0.057,0.025,0.244,0,0.029,0.639,61.86409
No,0,0,654,41.6,15.6,0.243,0.073,0,0.05,0.19,0,0.092,0.595,61.85327
Yes,0,0,416,27.5,15,0.531,0,0,0.005,0.589,0,0.019,0.387,61.84309
No,0,0,381,20,18.9,0.26,0.026,0,0.016,0.147,0,0.039,0.772,61.82145
Yes,0,0,360,29.2,12.3,0.397,0,0.014,0,0.172,0.006,0.019,0.789,61.81918
No,0,0,202,12,16.8,0.193,0,0,0,0.134,0,0.025,0.842,61.80982
No,0,0,882,39.1,22.5,0.262,0.029,0.001,0.035,0.339,0.001,0.041,0.553,61.6
No,0,0,419,22.6,18.4,0.346,0.002,0.01,0.024,0.215,0.002,0.031,0.716,61.53179
Yes,0,0,216,15,14.3,0.366,0.009,0,0,0.083,0,0,0.907,61.50918
No,0,0,461,23.6,19.5,0.163,0.017,0.002,0.059,0.182,0,0.017,0.722,61.47873
No,1,0,476,25.9,18.3,0.271,0.002,0.008,0.023,0.139,0,0.032,0.796,61.46957
No,0,0,330,19.9,16.5,0.376,0.009,0,0.006,0.167,0,0.033,0.785,61.39555
No,0,0,499,31.6,15.7,0.519,0.018,0.012,0.022,0.357,0.006,0.036,0.549,61.3755
Yes,0,0,145,8.6,16.8,0.462,0.007,0,0,0.248,0,0,0.745,61.23827
Yes,0,0,230,15.1,15.1,0.687,0.013,0.013,0,0.539,0.009,0,0.426,61.23655
Yes,0,0,102,10.6,9.6,0.608,0,0,0,0.735,0,0,0.265,61.225
Yes,0,0,389,27.3,14.2,0.378,0.01,0,0.051,0.28,0.003,0.057,0.599,61.20864
Yes,0,0,267,18.3,14.5,0.592,0.011,0.004,0.007,0.247,0.004,0.03,0.697,61.16509
Yes,0,0,341,25,13.5,0.29,0,0,0.003,0.109,0,0.038,0.85,61.143
No,1,0,773,50.6,15.2,0.163,0.005,0.003,0.045,0.109,0,0.058,0.78,61.10429
Yes,0,0,384,20.7,18.4,0.51,0.008,0.008,0.005,0.146,0,0.023,0.81,60.85829
No,0,0,331,21.3,15.5,0.396,0.003,0.009,0.006,0.341,0.006,0.015,0.619,60.69673
Yes,0,0,109,8.6,12.5,0.523,0.018,0.028,0,0.037,0,0,0.917,60.54225
No,0,0,520,22.6,22.9,0.3,0.002,0.004,0.01,0.217,0.002,0.042,0.723,60.47593
No,0,0,613,35.5,17.2,0.235,0.093,0,0.036,0.166,0.002,0.073,0.63,60.45009
Yes,0,0,383,29.7,12.8,0.371,0.094,0.01,0.023,0.18,0.01,0.063,0.619,60.44564
Yes,0,0,314,20.5,15.3,0.42,0.054,0,0.01,0.182,0,0.057,0.697,60.31579
No,0,0,810,46,17.5,0.173,0.098,0.005,0.09,0.154,0,0.048,0.605,60.30827
Yes,0,0,360,25.5,14.1,0.875,0.117,0.006,0.014,0.547,0.008,0.064,0.244,60.292
No,0,0,450,23.4,19.2,0.318,0.011,0.002,0.004,0.153,0,0.033,0.796,60.13191
Yes,0,0,140,11.5,12.1,0.55,0,0.007,0,0.079,0,0.057,0.857,60.11627
No,0,0,417,23.7,17.5,0.278,0.005,0.007,0.007,0.053,0,0.041,0.887,59.85145
No,0,0,334,21.3,15.6,0.404,0.018,0,0.015,0.147,0.003,0.078,0.74,59.77655
No,1,0,627,39.9,15.7,0.163,0.013,0.003,0.022,0.136,0.002,0.011,0.813,59.74679
No,1,0,291,20.8,13.9,0.141,0,0,0.017,0.244,0.007,0.014,0.718,59.66757
Yes,0,0,133,11.7,11.3,0.602,0,0,0,0,0,0.015,0.985,59.55657
No,0,0,489,23,21.2,0.241,0.014,0.004,0.008,0.256,0.002,0.039,0.677,59.51691
Yes,0,0,400,21.5,18.5,0.593,0.003,0.005,0.003,0.508,0.003,0.028,0.453,59.19
No,0,0,419,24.1,17.3,0.518,0.041,0.007,0,0.222,0.002,0.076,0.652,59.15082
Yes,0,0,233,15.6,14.8,0.536,0.004,0.004,0,0.146,0,0.043,0.803,58.98118
Yes,0,0,246,19.1,12.8,0.407,0,0,0.004,0.252,0,0.012,0.732,58.6635
No,0,0,617,33,18.6,0.379,0.089,0.003,0.016,0.217,0.015,0.118,0.541,58.63582
No,0,0,313,19.2,16.3,0.47,0.019,0.01,0.035,0.185,0,0.026,0.725,58.53209
No,0,0,441,25.8,17,0.134,0.005,0,0.048,0.141,0,0.041,0.766,58.28429
No,1,0,390,26.7,14.5,0.044,0.003,0.003,0.033,0.144,0,0.044,0.774,58.24457
No,0,0,526,29.8,17.6,0.363,0.175,0.004,0.046,0.198,0.006,0.091,0.481,58.18018
No,0,0,476,22.7,20.9,0.214,0,0.004,0.006,0.101,0.006,0.063,0.819,58.12345
No,0,0,451,25,18,0.457,0.009,0.011,0.004,0.2,0.002,0.051,0.723,58.03082
No,0,0,377,23.7,15.8,0.48,0.024,0.008,0.016,0.313,0,0.013,0.626,57.98536
No,0,0,675,30.7,21.9,0.305,0.16,0.003,0.126,0.227,0,0.081,0.403,57.84786
No,0,0,502,24.5,20.4,0.426,0.014,0,0.012,0.323,0,0.036,0.616,57.82245
No,0,0,575,31,18.5,0.388,0.014,0.01,0.016,0.39,0.002,0.033,0.536,57.75073
No,0,0,355,16.8,21,0.403,0.017,0.02,0.014,0.197,0,0.034,0.718,57.35164
No,0,0,476,21.1,22.4,0.426,0.042,0.017,0.015,0.313,0,0.036,0.578,57.18836
No,0,0,637,31.8,19.9,0.085,0.017,0.002,0.017,0.107,0.002,0.035,0.821,57.14193
Yes,0,0,529,34,15.5,0.44,0.013,0,0.017,0.287,0,0.055,0.628,57.04691
Yes,0,0,381,22.7,16.7,0.42,0.013,0.003,0.013,0.087,0,0.058,0.827,56.99273
Yes,0,0,280,18.3,15.2,0.35,0.025,0.014,0.014,0.111,0,0.032,0.804,56.91971
Yes,0,0,366,18.5,19.7,0.26,0,0.016,0,0.164,0.003,0.003,0.814,56.90627
Yes,0,0,372,24.2,15.3,0.532,0.003,0.013,0.003,0.148,0,0.027,0.806,56.89864
No,0,0,531,25.8,20.5,0.674,0.013,0.006,0.009,0.663,0,0.011,0.298,56.843
No,0,0,571,33.3,17.1,0.32,0.068,0.011,0.028,0.245,0.009,0.079,0.56,56.76209
Yes,0,0,480,34,14.1,0.498,0.002,0,0.002,0.338,0,0.002,0.656,56.71845
Yes,0,0,535,33,16.2,0.903,0.202,0,0.019,0.417,0.028,0.08,0.254,56.64091
No,0,0,364,19.3,18.7,0.621,0.022,0.003,0.014,0.701,0,0.022,0.239,56.63273
Yes,0,0,594,36.6,16.1,0.54,0.012,0.013,0.022,0.217,0.007,0.024,0.705,56.62345
No,0,0,711,38,18.6,0.606,0.024,0.003,0.014,0.549,0.001,0.015,0.394,56.59721
Yes,0,0,279,18.9,14.7,0.53,0.011,0.004,0,0.147,0,0.022,0.817,56.45336
Yes,0,0,336,20.4,16.4,0.637,0.015,0.003,0.012,0.277,0,0.03,0.664,56.44473
No,0,0,392,21,18.6,0.492,0.015,0.01,0.036,0.367,0.003,0.028,0.541,56.43427
No,0,0,490,26.3,18.6,0.322,0.012,0.006,0.024,0.247,0.002,0.037,0.671,56.39171
No,0,0,293,18.2,16,0.266,0.003,0,0.014,0.061,0.003,0.058,0.86,56.37764
No,0,0,474,26.4,17.9,0.099,0.008,0.002,0.008,0.16,0,0.044,0.776,56.34221
Yes,0,0,211,15.1,13.9,0.815,0.071,0.005,0.005,0.351,0.005,0.038,0.526,56.12664
Yes,0,0,87,8.6,10,0.609,0,0,0,0.264,0,0,0.736,56.101
Yes,0,0,168,16.4,10.1,0.589,0,0,0,0.161,0,0.03,0.81,55.99655
Yes,0,0,670,47.8,14,0.4,0.001,0.001,0.01,0.522,0,0.022,0.442,55.95671
Yes,0,0,222,13.2,16.7,0.545,0,0,0,0.302,0,0.023,0.676,55.92964
Yes,0,0,469,24.5,19.1,0.267,0.009,0.011,0.011,0.136,0.004,0.019,0.81,55.74173
No,0,0,510,25.5,19.9,0.184,0.004,0.002,0.006,0.153,0.002,0.014,0.82,55.52118
No,0,0,548,25.6,21.3,0.593,0.004,0,0,0.6,0,0.005,0.391,55.50779
No,0,0,498,31.7,15.7,0.229,0.028,0.002,0.01,0.133,0.006,0.052,0.769,55.33636
Yes,0,0,413,31.3,13.1,0.482,0.056,0.005,0.017,0.269,0.002,0.075,0.576,55.26309
No,0,0,265,14.4,18.4,0.2,0.023,0.004,0.015,0.128,0.004,0.075,0.751,55.04118
No,0,0,380,22,17.2,0.303,0.008,0.005,0.029,0.134,0.005,0.032,0.787,55.01191
Yes,0,0,92,8.3,11,0.446,0.011,0.022,0,0,0.011,0,0.957,54.86425
No,0,0,453,30.4,14.8,0.494,0.007,0,0.009,0.384,0,0.024,0.576,54.78791
No,0,0,578,29.8,19.3,0.209,0.05,0.002,0.045,0.118,0.003,0.043,0.739,54.76818
Yes,1,0,523,24.1,21.6,0.83,0.01,0.002,0.004,0.893,0,0.008,0.084,54.68591
No,0,0,501,29,17.2,0.12,0.008,0,0.006,0.142,0,0.05,0.794,54.58571
No,1,0,280,13,21.5,0,0,0.004,0.029,0.111,0,0.046,0.811,54.4755
No,1,0,831,41.4,20,0.118,0.053,0.006,0.017,0.183,0.006,0.073,0.662,54.38243
Yes,0,0,344,19.5,17.6,0.581,0.003,0.012,0.012,0.442,0,0.044,0.488,54.22845
No,0,0,510,38.7,13.1,0.59,0.216,0.01,0.039,0.267,0.006,0.065,0.398,54.18643
No,1,0,656,31.1,21,0.255,0.003,0,0.008,0.111,0.003,0.024,0.851,54.10893
No,0,0,531,28,18.9,0.298,0.019,0.002,0.047,0.347,0.002,0.038,0.546,54.01609
Yes,0,0,387,21.3,18.1,0.517,0.008,0.005,0.005,0.437,0,0.023,0.522,53.91118
Yes,0,0,409,21.3,19.1,0.467,0.012,0,0.002,0.401,0,0.022,0.562,53.90064
No,0,0,378,23.2,16.2,0.656,0.085,0,0.019,0.312,0,0.09,0.495,53.81073
No,0,0,470,26.2,17.9,0.368,0.009,0.004,0.021,0.219,0,0.051,0.696,53.73355
No,1,0,187,14.1,13.2,0.369,0.021,0.005,0.005,0.358,0.005,0.016,0.588,53.7265
No,0,0,473,26.7,17.6,0.347,0.011,0.004,0.006,0.156,0,0.027,0.795,53.70845
No,0,0,303,16.4,18.4,0.64,0.013,0.013,0.003,0.284,0.003,0.079,0.604,53.70145
No,0,0,380,23.4,16.1,0.297,0.024,0.008,0.026,0.242,0,0.042,0.658,53.63727
Yes,0,0,380,25,15.2,0.666,0.145,0.011,0.039,0.282,0.016,0.092,0.416,53.37973
No,1,0,1765,88.7,19.8,0.313,0.01,0.006,0.018,0.32,0.004,0.012,0.631,53.26086
No,0,0,389,25.2,15.4,0.424,0.021,0.003,0.003,0.203,0,0.033,0.738,53.24327
No,1,0,755,48.3,15.6,0.248,0.004,0.003,0.016,0.131,0,0.023,0.824,53.02536
Yes,0,0,174,11.9,14.5,0.506,0.011,0.006,0.006,0.011,0,0.046,0.92,52.84445
Yes,0,0,223,18.1,12.2,0.484,0,0.022,0.009,0.09,0,0.049,0.83,52.67507
Yes,0,0,437,29.9,14.6,0.446,0.071,0.002,0.016,0.277,0.023,0.114,0.497,52.51109
No,1,0,112,9.3,11.9,0.188,0.018,0,0.009,0.098,0.009,0.009,0.857,52.51025
No,0,0,320,19.7,16.1,0.431,0.003,0.034,0.006,0.309,0,0.013,0.634,52.21614
Yes,0,0,442,28.2,15.6,0.618,0.002,0.014,0.005,0.281,0,0.036,0.663,52.06018
