Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2013-14)
No,1,0,241,20.9,11.5,0.266,0.021,0,0.012,0.203,0,0.104,0.66,98.43183
No,1,0,1036,51.6,20,0.039,0.003,0.003,0.056,0.052,0,0.03,0.856,98.13583
No,0,0,1038,49.2,21,0.075,0.007,0.006,0.065,0.097,0,0.028,0.798,97.533
No,1,0,773,50.6,15.2,0.163,0.005,0.003,0.045,0.109,0,0.058,0.78,97.02217
No,1,0,472,19.7,23.8,0.042,0.011,0,0.017,0.068,0.002,0.053,0.85,96.102
No,0,0,1076,48.8,22,0.141,0.073,0.003,0.042,0.14,0.001,0.064,0.677,95.26833
No,0,0,649,44.7,14.5,0.111,0.003,0.005,0.003,0.045,0.003,0.029,0.912,95.17167
No,0,1,69,1.2,54.3,0,0,0,0.029,0.174,0.014,0.043,0.739,94.34067
No,1,0,618,50.7,12.1,0.06,0.018,0,0.024,0.061,0,0.028,0.869,94.11717
No,1,0,745,28,26.5,0.062,0.004,0.001,0.083,0.099,0.008,0.044,0.76,93.5295
No,0,0,1014,56.2,18,0.081,0.001,0.002,0.016,0.052,0,0.023,0.906,93.26283
No,1,0,1445,64.2,22.4,0.073,0.008,0.002,0.111,0.089,0.003,0.048,0.738,93.07233
No,0,0,1748,84.8,20.6,0.098,0.01,0.004,0.025,0.118,0.001,0.029,0.813,93.04783
No,0,0,1313,82.1,15.9,0.094,0.021,0.004,0.047,0.116,0.005,0.028,0.779,92.84767
No,0,0,2121,94.5,22.4,0.072,0.004,0.003,0.101,0.082,0,0.053,0.756,92.83517
No,0,0,1095,53.6,20.4,0.075,0.007,0.006,0.017,0.1,0.002,0.037,0.831,91.71683
No,0,0,1030,46.2,22.2,0.085,0.017,0.011,0.026,0.068,0,0.045,0.834,91.236
No,0,0,2094,107.3,19.5,0.087,0.011,0.002,0.038,0.064,0.001,0.03,0.853,91.04917
No,0,0,3507,175.6,19.9,0.106,0.03,0.003,0.104,0.114,0.002,0.033,0.714,90.89317
No,0,0,677,39.7,17,0.17,0.006,0.004,0.015,0.084,0,0.016,0.874,90.85867
No,1,0,499,40.1,12.4,0.481,0.238,0.008,0.034,0.357,0,0.064,0.299,90.70167
No,1,0,397,17.8,22.3,0.149,0.018,0.005,0.053,0.146,0,0.043,0.736,90.17217
Yes,0,0,60,9.9,6,0.283,0,0,0,0.1,0,0,0.9,90.165
No,0,0,2509,139.8,17.9,0.073,0.024,0.004,0.031,0.106,0.004,0.057,0.774,89.9525
No,0,0,102,8.6,11.8,0.294,0,0.02,0,0.02,0,0.029,0.931,89.23567
No,0,0,1938,82.7,23.4,0.031,0.008,0.002,0.067,0.076,0.001,0.035,0.811,89.175
No,0,0,1313,56.8,23,0.215,0.008,0.004,0.069,0.19,0.005,0.016,0.707,89.0965
No,0,0,1419,72.8,19.4,0.118,0.035,0.005,0.023,0.117,0.006,0.055,0.76,89.06917
Yes,0,0,104,9.4,10.9,0.202,0.038,0,0,0.067,0,0.019,0.875,88.62867
No,0,0,557,41.4,13.4,0.061,0,0.002,0.018,0.113,0,0,0.867,88.247
No,1,0,410,24.6,16.6,0.32,0.124,0.01,0.078,0.312,0.005,0.017,0.454,86.7775
No,0,0,158,10.2,15.4,0.019,0,0.013,0.006,0.076,0,0.038,0.867,86.62667
No,1,0,1509,75,20.1,0.221,0.011,0.003,0.011,0.156,0,0.013,0.806,86.53617
No,0,0,825,52,15.8,0.152,0.005,0.005,0.013,0.058,0.001,0.011,0.907,86.47883
No,0,0,678,33.7,20,0.205,0,0.006,0.015,0.094,0.004,0.012,0.869,86.04867
No,0,0,98,7.2,13.5,0.5,0,0,0,0.235,0,0.031,0.735,86.04317
No,1,0,703,18.4,38,0.255,0.061,0.006,0.026,0.171,0.004,0.023,0.71,85.9905
No,0,0,2098,97,21.6,0.069,0.007,0.003,0.05,0.102,0,0.042,0.796,85.8455
No,0,0,1952,87.4,22.3,0.088,0.013,0.006,0.026,0.105,0.005,0.038,0.808,85.7175
No,0,0,1541,93.4,16.4,0.174,0.011,0.006,0.027,0.157,0.001,0.024,0.774,85.3065
No,0,0,121,7.4,16.2,0.207,0.008,0,0,0.413,0.017,0.033,0.529,85.245
No,0,0,1479,81.2,18.1,0.08,0.024,0.005,0.039,0.11,0.006,0.045,0.772,85.0645
No,0,0,2597,137.8,18.8,0.176,0.087,0.006,0.093,0.154,0.006,0.049,0.605,84.77883
No,0,0,99,8.6,11.4,0.313,0,0,0,0.111,0,0.02,0.869,84.652
No,0,0,423,1.7,241.7,0.189,0,0.005,0.002,0.045,0,0.026,0.922,84.635
No,0,0,1673,78.6,21.2,0.145,0.008,0.005,0.024,0.13,0.001,0.039,0.793,84.51883
No,0,0,1989,94,21.1,0.069,0.011,0.006,0.039,0.112,0.001,0.039,0.793,83.68083
No,0,0,109,10.5,10.3,0.349,0,0,0.037,0.037,0.009,0.046,0.872,83.67217
No,0,0,2273,98.9,22.9,0.088,0.011,0.004,0.025,0.099,0.001,0.033,0.827,83.2195
No,0,0,1806,98.2,18.3,0.138,0.007,0.003,0.019,0.129,0.003,0.036,0.803,82.74933
No,0,0,1129,47.1,23.9,0.186,0.011,0.005,0.027,0.142,0.001,0.017,0.798,82.63567
No,0,0,102,9.4,10.8,0.324,0,0.02,0,0.088,0,0.039,0.853,82.53367
No,0,0,295,26.3,11.2,0.369,0.003,0.003,0.014,0.095,0,0.014,0.871,82.51833
No,1,0,408,22.8,17.8,0.233,0.015,0.005,0.032,0.309,0,0.025,0.615,82.43117
No,0,0,168,15.5,10.8,0.262,0.006,0,0.018,0.131,0.012,0.06,0.774,81.93567
No,0,0,1591,89.9,17.6,0.107,0.041,0.003,0.021,0.14,0.003,0.058,0.735,81.91283
No,1,0,584,23,25.3,0.17,0.007,0.007,0.019,0.077,0,0.029,0.861,81.41333
No,0,0,2171,96.7,22.4,0.201,0.022,0.007,0.081,0.175,0.002,0.012,0.702,81.01683
No,0,0,405,23.4,17.2,0.746,0.005,0.005,0.032,0.096,0.002,0.022,0.837,80.66433
No,0,0,118,9.4,12.4,0.339,0.008,0,0.025,0.203,0,0.008,0.754,80.51833
No,0,0,1820,90.5,20.1,0.142,0.012,0.008,0.028,0.132,0.001,0.044,0.775,80.1535
No,1,0,269,19.7,13.6,0.067,0.004,0.011,0.007,0.037,0,0.015,0.926,79.90233
No,0,0,1531,90.6,16.8,0.146,0.044,0.003,0.072,0.155,0.006,0.052,0.668,79.89183
No,0,0,215,18.3,11.7,0.256,0.005,0.009,0.019,0.209,0,0.009,0.749,79.05533
No,0,0,1945,94,20.6,0.184,0.019,0.003,0.044,0.179,0.001,0.045,0.71,79.02417
No,0,1,774,36.3,21.2,0.517,0.062,0.032,0.081,0.468,0.004,0.039,0.314,78.94383
No,1,0,493,27.4,17.9,0.061,0.014,0.014,0.026,0.343,0.004,0.008,0.59,78.89783
No,0,0,299,17.2,17.3,0.294,0.003,0.013,0.01,0.094,0,0.017,0.863,77.94133
No,1,0,388,26.8,14.4,0.235,0.021,0.003,0.023,0.134,0.008,0.08,0.732,77.74817
No,0,0,330,22.8,14.4,0.288,0.009,0.003,0.015,0.167,0,0.024,0.782,77.40783
No,0,0,1635,74.7,21.8,0.07,0.005,0.002,0.053,0.089,0.001,0.048,0.802,76.79917
No,0,0,2633,139.3,18.8,0.14,0.115,0.006,0.101,0.143,0.004,0.044,0.586,75.94783
No,0,0,2435,125.1,19.4,0.354,0.226,0.004,0.025,0.219,0.002,0.055,0.468,75.71767
No,0,0,100,8.6,11.6,0.61,0,0,0,0.68,0,0,0.32,75.53333
No,0,0,775,33.3,23.2,0.177,0.005,0.005,0.022,0.146,0.001,0.01,0.81,75.51517
No,0,0,219,14.2,15.3,0.356,0.005,0.005,0.009,0.123,0,0.014,0.845,75.04633
No,0,0,2104,100.7,20.8,0.113,0.019,0.006,0.028,0.13,0.001,0.042,0.773,74.706
No,0,0,1160,57.7,20,0.081,0.011,0.002,0.011,0.109,0.001,0.051,0.815,74.6165
No,0,0,130,12.1,10.6,0.469,0.008,0.038,0.015,0,0,0.015,0.923,74.60867
No,0,0,330,22.7,14.5,0.261,0.009,0.006,0.009,0.07,0,0.009,0.897,74.29
No,0,0,770,42.4,18.1,0.294,0.006,0.006,0.009,0.261,0.001,0.025,0.691,74.238
No,0,0,173,12,14.4,0.48,0,0,0,0.329,0,0.012,0.659,74.07233
No,0,0,239,15.6,15.2,0.397,0,0.004,0.013,0.105,0,0.004,0.874,74.0305
No,0,0,1234,66.2,18.6,0.166,0.002,0.007,0.008,0.142,0.001,0.031,0.809,73.839
No,0,0,1110,62.1,17.8,0.211,0.005,0.043,0.008,0.172,0.001,0.015,0.755,73.45783
No,0,0,1971,99.2,19.8,0.263,0.013,0.006,0.025,0.147,0.002,0.044,0.764,73.3145
No,0,0,153,12.8,11.9,0.268,0.026,0,0.013,0.078,0,0.02,0.863,73.02617
No,0,0,2085,131.6,15.8,0.327,0.016,0.007,0.048,0.274,0.005,0.04,0.61,72.826
No,0,0,135,13.7,9.8,0.519,0,0,0,0.585,0,0.007,0.407,71.797
No,0,0,501,30.9,16.1,0.255,0.006,0.004,0.008,0.216,0,0.014,0.752,71.74933
No,0,0,155,13.4,11.5,0.348,0.019,0.006,0.058,0.006,0,0.013,0.897,71.70333
No,0,0,1359,66.6,20.3,0.357,0.002,0.009,0.007,0.305,0.001,0.024,0.653,70.92917
No,1,0,755,48.3,15.6,0.248,0.004,0.003,0.016,0.131,0,0.023,0.824,70.35517
No,0,0,1431,65.9,21.6,0.128,0.01,0.005,0.041,0.14,0.001,0.039,0.765,70.2145
No,0,0,1605,81.9,19.5,0.101,0.025,0.005,0.06,0.132,0.001,0.042,0.735,69.49683
No,0,0,101,11.5,8.7,0.495,0,0.01,0,0.168,0,0.02,0.802,69.39917
No,0,0,1675,87.2,19.2,0.21,0.011,0.005,0.038,0.194,0.002,0.035,0.715,69.162
No,0,0,284,17.3,16.3,0.32,0.004,0.007,0.014,0.063,0,0.042,0.87,68.69333
No,0,0,1101,66.4,16.5,0.248,0.015,0.008,0.027,0.174,0.002,0.027,0.747,68.14533
No,0,0,1699,87.6,19.3,0.274,0.008,0.008,0.016,0.195,0.001,0.029,0.744,67.77317
No,0,0,57,5,11.3,0.404,0,0,0,0.14,0,0,0.86,67.60417
No,1,0,147,7.2,20.3,0.231,0.027,0.02,0.014,0.231,0,0,0.707,66.667
No,0,0,631,37.1,16.9,0.463,0.008,0.013,0.036,0.306,0.002,0.008,0.628,66.56517
No,0,0,216,13.5,16,0.296,0.005,0.028,0.005,0.069,0,0.014,0.88,66.46667
No,0,0,157,10.6,14.7,0.484,0,0,0.006,0.236,0,0.019,0.739,66.37017
No,0,0,776,38.5,20.1,0.251,0.005,0.003,0.022,0.183,0.004,0.001,0.782,66.29583
No,0,0,1278,65.4,19.5,0.269,0.009,0.006,0.027,0.132,0.005,0.023,0.796,66.248
No,0,0,233,15.4,15,0.433,0.03,0.009,0,0.107,0,0.026,0.828,66.0605
No,0,0,1303,63.3,20.5,0.198,0.004,0.003,0.005,0.118,0.002,0.029,0.838,65.98367
No,0,0,1242,67.6,18.3,0.147,0.051,0.009,0.02,0.129,0.002,0.052,0.737,65.772
No,0,0,364,22.5,16.1,0.228,0,0.033,0.011,0.148,0,0.027,0.78,65.75033
No,0,0,1054,53.7,19.6,0.409,0.007,0.007,0.008,0.24,0.002,0.025,0.713,65.523
No,0,0,387,30.3,12.7,0,0.018,0.003,0.034,0.109,0,0.067,0.77,65.503
No,0,0,1346,80.2,16.7,0.3,0.016,0.003,0.077,0.172,0.004,0.034,0.694,65.25717
No,0,0,519,28.7,18,0.162,0.008,0.015,0.008,0.089,0.002,0.042,0.836,65.158
No,0,0,2504,130,19.2,0.263,0.146,0.003,0.065,0.196,0.002,0.045,0.542,64.8365
No,0,0,764,42.5,17.9,0.149,0.007,0.007,0.013,0.098,0.003,0.026,0.847,64.8085
No,0,0,250,20.2,12.3,0.304,0,0.024,0.008,0.1,0,0.008,0.86,64.6465
No,0,0,2149,123.6,17.3,0.274,0.182,0.006,0.079,0.17,0.006,0.056,0.5,64.16
No,0,0,1388,67.6,20.5,0.298,0.017,0.005,0.009,0.288,0,0.024,0.657,64.07933
No,0,0,111,7.4,15,0.45,0,0.054,0.009,0.153,0.009,0.009,0.766,63.7405
No,0,0,1732,111.4,15.5,0.383,0.018,0.009,0.068,0.333,0.002,0.033,0.538,63.275
Yes,0,0,140,9.8,14.1,0.536,0.007,0.007,0.007,0.3,0,0.043,0.636,63.22517
No,0,0,223,15.9,14,0.269,0.004,0.013,0.013,0.103,0,0.027,0.839,63.125
No,0,0,133,10.2,12.9,0.579,0,0,0,0,0,0.015,0.985,62.825
No,0,0,1841,91.1,20.2,0.133,0.009,0.005,0.016,0.134,0.002,0.042,0.792,62.5005
No,0,0,1018,58.8,17.2,0.276,0.007,0.007,0.032,0.274,0.002,0.043,0.635,62.29667
No,0,0,2178,95.1,22.8,0.37,0.064,0.009,0.022,0.232,0.006,0.066,0.601,61.9155
No,0,0,712,37.4,19,0.369,0.001,0.008,0.011,0.48,0,0.01,0.489,61.77083
No,0,0,139,11.4,12.1,0.46,0.007,0.007,0,0.151,0,0.007,0.827,61.5505
No,0,0,1383,71.7,19.2,0.273,0.019,0.011,0.035,0.247,0.001,0.034,0.653,61.50017
No,0,0,1509,84.1,17.9,0.31,0.018,0.005,0.041,0.246,0.002,0.026,0.662,61.43283
No,1,0,1765,88.7,19.8,0.313,0.01,0.006,0.018,0.32,0.004,0.012,0.631,61.22433
No,0,0,75,2.5,30,0.093,0,0,0,0.267,0,0.027,0.707,60.88567
No,0,0,2071,95,21.8,0.469,0.059,0.012,0.027,0.275,0.004,0.077,0.547,60.83617
No,0,0,97,8.1,11.9,0.216,0,0.01,0,0.041,0,0.062,0.887,60.40717
No,0,0,197,14.3,13.7,0.548,0,0.005,0,0.279,0,0.01,0.706,60.1755
No,0,0,335,26.7,12.5,0.313,0,0,0,0.304,0,0.003,0.693,60.0465
No,0,0,114,10,11.4,0.421,0,0,0,0.184,0,0.009,0.807,59.84217
No,0,0,1962,93.9,20.8,0.321,0.022,0.009,0.045,0.278,0.002,0.011,0.633,59.6835
No,0,0,1521,65.7,23.1,0.269,0.011,0.007,0.018,0.184,0.001,0.027,0.753,59.548
No,0,0,839,40.2,20.8,0.298,0.004,0.004,0.005,0.35,0.002,0.012,0.623,59.35633
No,0,0,73,7.7,9.4,0.288,0,0,0,0.11,0,0.041,0.849,59.35333
No,0,0,966,14.5,66.2,0.066,0.03,0.002,0.007,0.091,0.003,0.051,0.816,59.29483
No,0,0,570,33,17.2,0.472,0.011,0.004,0.007,0.265,0,0.026,0.688,59.22
Yes,0,1,748,44,17,0.69,0.012,0.005,0.024,0.754,0.001,0.023,0.18,59.129
No,0,0,1970,92.8,21.2,0.221,0.016,0.008,0.06,0.246,0.003,0.006,0.662,59.06983
Yes,0,0,269,23.6,11.3,0.599,0,0,0,0.625,0,0.019,0.357,58.7335
No,0,0,210,15.2,13.8,0.433,0,0,0.01,0.157,0.005,0.024,0.805,58.70717
No,0,0,1192,57.1,20.8,0.443,0.011,0.013,0.024,0.298,0.004,0.013,0.637,58.6205
No,0,0,102,8.5,11.9,0.52,0,0,0,0.127,0.01,0.029,0.833,58.53433
No,0,0,1230,59.5,20.6,0.204,0.094,0.007,0.048,0.199,0.003,0.058,0.591,58.375
No,0,0,1558,71,21.9,0.426,0.044,0.008,0.022,0.23,0.002,0.06,0.634,58.36183
No,0,0,1779,97,18.3,0.35,0.011,0.008,0.033,0.23,0.001,0.026,0.69,57.95267
No,0,0,1715,88.8,19.3,0.326,0.01,0.007,0.012,0.233,0,0.034,0.704,57.28017
No,0,0,439,23.3,18.8,0.125,0.055,0.014,0.007,0.276,0.002,0.059,0.588,56.239
No,0,0,392,25.5,15.3,0.357,0.013,0.02,0.01,0.24,0,0.005,0.712,56.18017
No,1,0,187,12.8,14.5,0.358,0.021,0.011,0.032,0.15,0,0.053,0.733,56.013
No,0,0,226,16.5,13.6,0.363,0.013,0.027,0,0.106,0,0.018,0.836,55.776
Yes,0,0,116,10.4,11,0.621,0,0.034,0,0.103,0,0.034,0.828,55.75767
No,0,0,204,15.4,13.2,0.353,0.01,0.025,0,0.083,0,0.02,0.863,55.61983
No,0,0,53,8,6.6,0.585,0.019,0.019,0,0,0.019,0,0.943,55.422
No,0,0,221,17.5,12.5,0.321,0.005,0.005,0.005,0.086,0.005,0.018,0.878,55.39567
No,0,0,47,6.2,7.5,0.511,0.021,0,0,0.149,0.043,0.021,0.766,55.1095
No,0,0,141,9.2,15.1,0.326,0.007,0,0,0.085,0,0.028,0.879,55.03833
No,0,0,290,20.3,14.2,0.428,0.007,0.028,0.007,0.307,0.01,0.038,0.603,54.87683
No,0,0,882,45.9,19.1,0.303,0.005,0.003,0.007,0.077,0,0.05,0.858,54.68267
No,0,0,309,24.6,12.5,0.392,0.013,0.01,0.013,0.11,0,0.032,0.822,53.749
No,0,0,126,3,42,0.325,0.135,0.016,0.016,0.286,0,0.04,0.508,53.506
No,0,0,507,29.4,17.1,0.576,0.004,0.008,0.008,0.625,0,0.002,0.353,53.15117
No,0,0,804,42.2,19,0.203,0,0.005,0.01,0.433,0,0.016,0.536,52.71
Yes,0,0,131,15.1,8.6,0.603,0.008,0,0,0.115,0,0.038,0.84,52.33233
No,0,0,112,14.5,7.7,0.295,0.027,0.009,0,0.071,0,0,0.893,52.2865
No,0,0,1713,99.9,17.1,0.407,0.145,0.008,0.012,0.253,0.011,0.098,0.472,52.24617
No,0,0,1053,55.3,19,0.408,0.005,0.007,0.003,0.093,0.001,0.031,0.86,52.07667
